		BAP_MISS_FIND	BAP_LA_REF	BAP_RC_REF	BAP_MEM_REF	BAP_ENGLISH	BAP_TOUR
2016:1:0:0:CENTRAL		8			8		
2016:1:0:0:EAST		7			5		
2016:1:0:0:HUALIAN		8			1		
2016:1:0:0:NORTH		3			3		
2016:1:0:0:OFFICE		4			2		
2016:1:0:0:SOUTH		5			5	2	
2016:1:0:0:TAIDONG		6				2	
2016:1:0:0:TAOYUAN		10	10			2	1
2016:1:0:0:XINZHU		5			4	2	
2016:1:0:0:ZHUNAN					2		
2016:1:0:0:WEST		7			3	1	1
