		BAP_MISS_FIND	BAP_LA_REF	BAP_RC_REF	BAP_MEM_REF	BAP_ENGLISH	BAP_TOUR
2016:1:0:0:CENTRAL	-	12	0	0	10	0	0
2016:1:0:0:EAST	-	7	0	0	5	0	0
2016:1:0:0:HSINCHU	-	5	0	0	6	2	0
2016:1:0:0:HUALIEN	-	18	0	0	1	2	0
2016:1:0:0:NORTH	-	3	0	0	3	0	0
2016:1:0:0:SOUTH	-	5	0	0	5	2	0
2016:1:0:0:TAOYUAN	-	10	0	0	10	2	1
2016:1:0:0:WEST	-	7	0	0	3	1	1
