	CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV
2016:3:3:3:1:JINGXIN_S	CHUJIBAN	15	12	4	0
2016:3:3:3:1:LONGTAN_E	beginner	4	3	0	0
2016:3:3:3:1:LUODONG_A_E	beginning	7	6	2	0
2016:3:3:3:1:LUODONG_B_E	Children	9	9	0	0
2016:3:3:3:0:LUZHOU_B_E	childrens	9	6	1	0
2016:3:3:3:1:MUZHA_S	kids	2	0	0	0
2016:3:3:3:1:NEIHU_E	int	4	2	1	0
2016:3:3:3:0:SANXIA_B	CHILDREN	4	3	0	0
2016:3:3:3:0:SONGSHAN_S	intermediate	6	4	0	0
2016:3:3:3:1:TAIDONG_1_S	children	5	5	0	0
2016:3:3:3:1:TAO_4_S	intermediate	9	7	3	0
2016:3:3:3:1:TOUFEN_E	Zhongji	7	5	0	0
2016:3:3:3:0:TUCHENG_E	高級	9	6	2	0
2016:3:3:3:0:XINBAN_E	BEGINNER	8	7	1	0
2016:3:3:3:1:XINDIAN_E	intermediate	8	5	1	0
2016:3:3:3:1:XIZHI_A_E	INTERMEDIATE	3	3	0	0
2016:3:3:3:1:XIZHI_B_E	Beginner	3	1	1	0
2016:3:3:3:1:ZHONGLI_2_E	Advanced	10	9	3	0
2016:3:3:3:1:ZHUDONG_S	Beginner	7	7	0	0
2016:3:3:3:1:ANKANG_E	intermediate	12	10	2	0
2016:3:3:3:1:JILONG_A_E	Beginner	14	13	0	0
2016:3:3:3:0:JILONG_B_E	CHILDREN	5	2	0	0
2016:3:3:3:1:SANXIA_A	beginners	1	0	0	0
2016:3:3:3:1:SANXIA_B	INTERMEDIATE	5	4	1	0
2016:3:3:3:0:SIYUAN_E	ADVANCED/INTERMEDIATE	11	9	2	0
2016:3:3:3:1:SONGSHAN_S	beginner	2	0	1	0
2016:3:3:3:0:TAO_3_E	高級	10	10	1	0
2016:3:3:3:1:TUCHENG_E	中級	14	12	4	2
2016:3:3:3:1:XINBAN_E	INTERMEDIATE	12	8	4	0
2016:3:3:3:1:YULI_E	Beginner	3	3	0	0
2016:3:3:3:1:JILONG_B_E	ADVANCED	3	2	0	0
2016:3:3:3:1:SIYUAN_E	兒童	10	10	0	0
2016:3:3:3:0:BADE_B_E	beginner	8	7	1	0
2016:3:3:3:0:JINGXIN_E	高級	12	11	0	0
2016:3:3:3:0:SONGSHAN_E	ADVANCED	11	11	1	1
2016:3:3:3:0:ZHUBEI_3_E	兒童班	13	3	0	0
2016:3:3:3:1:SONGSHAN_E	CHILD	10	7	0	1
