	CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV
2016:2:0:0:2:JINHUA	初級	1	2	3	6
2016:2:0:0:3:JINHUA	children	1	2	3	5
2016:3:0:0:0:ANKANG	Beginners	57	31	8	1
2016:3:0:0:0:BADE	高	66	39	7	1
2016:3:0:0:0:BEITOU	CHILD	31	23	10	3
2016:3:0:0:0:DANFENG	Beggin	19	17	6	7
2016:3:0:0:0:DANSHUI	intermediateclass	17	9	3	2
2016:3:0:0:0:GUISHAN	Beginner	59	39	13	0
2016:3:0:0:0:HUALIAN_1	ChuJi	36	27	5	0
2016:3:0:0:0:HUALIAN_2	BEGINNING	0	0	0	0
2016:3:0:0:0:HUALIAN_3	ADVANCED	42	25	14	1
2016:3:0:0:0:JILONG	Intermediate	115	89	6	2
2016:3:0:0:0:JINGXIN	BEGINNER	55	49	14	0
2016:3:0:0:0:JINHUA	Children	28	28	1	0
2016:3:0:0:0:LONGTAN	beginner	40	28	2	4
2016:3:0:0:0:LUZHOU	高級	23	15	3	1
2016:3:0:0:0:MIAOLI	children	33	25	4	0
2016:3:0:0:0:MUZHA	Advanced	36	20	12	4
2016:3:0:0:0:NEIHU	intermediate	43	39	10	1
2016:3:0:0:0:SANCHONG	Beginner	75	55	16	0
2016:3:0:0:0:SANXIA	beginner	56	39	7	2
2016:3:0:0:0:SHILIN	Advanced	49	37	14	2
2016:3:0:0:0:SIYUAN	kid	83	67	9	2
2016:3:0:0:0:SONGSHAN	ADVANCED	77	64	11	2
2016:3:0:0:0:TAIDONG_1	BEGINNER	18	11	1	0
2016:3:0:0:0:TAIDONG_2	advanced	24	22	2	0
2016:3:0:0:0:TAIDONG_3	INTERMEDIATE	48	39	6	0
2016:3:0:0:0:TAOYUAN_1	兒童	54	36	7	2
2016:3:0:0:0:TAOYUAN_2	advanced	105	81	13	2
2016:3:0:0:0:TAOYUAN_3	Advanced	69	52	12	0
2016:3:0:0:0:TAOYUAN_4	beginner	31	27	7	1
2016:3:0:0:0:TIANMU	Beginner	15	6	3	2
2016:3:0:0:0:TOUFEN	ADV	33	24	3	2
2016:3:0:0:0:TUCHENG	中級	107	75	25	13
2016:3:0:0:0:UNKNOWN	zhongjiban	4	2	1	0
2016:3:0:0:0:WANDA	beginner	95	79	30	6
2016:3:0:0:0:XIANGSHAN	ERTONG	40	26	6	0
2016:3:0:0:0:XINAN	beginner	28	26	16	2
2016:3:0:0:0:XINBAN	CHILD	88	73	19	1
2016:3:0:0:0:XINDIAN	advanced	58	43	16	7
2016:3:0:0:0:XINPU	advanced	51	47	22	0
2016:3:0:0:0:XINZHU_1	gaoji	69	57	9	4
2016:3:0:0:0:XINZHU_3	ADVANCED	55	46	8	4
2016:3:0:0:0:XIZHI	ADVANCED	52	29	10	0
2016:3:0:0:0:YILAN	beginning	68	62	21	0
2016:3:0:0:0:YONGHE	child	55	47	5	0
2016:3:0:0:0:YULI	BEGINNING	24	16	2	0
2016:3:0:0:0:ZHONGHE_1	INTERMEDIATE	44	42	7	1
2016:3:0:0:0:ZHONGHE_2	begginer	31	27	8	2
