		A	B	C	D	NEXTWEEKBAP	BAP	CONF	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2016:2:0:0:WANDA	+886972576554	0	2	21	29	1	0	0	77	17	87	172	75	6	42	7	3
2016:2:0:0:XINDIAN	+886972576529	0	1	15	21	1	0	0	36	14	61	67	39	1	24	8	0
2016:2:0:0:XINZHU	+886972576526	0	3	13	18	1	0	0	45	15	32	118	52	1	29	8	0
2016:2:0:0:XINZHUANG	+886972576517	0	2	8	8	0	0	0	23	2	21	28	11	0	13	2	0
2016:2:0:0:XIZHI	+886972576509	0	1	5	13	1	0	0	28	7	32	98	31	0	15	3	0
2016:2:0:0:YILAN	+886963917870	0	1	4	13	0	1	1	31	12	41	109	38	0	20	4	0
2016:2:0:0:YULI	+886972576594	0	0	8	10	0	0	0	20	2	8	57	23	0	13	6	0
2016:2:0:0:ZHONGLI	+886972576568	0	0	6	12	0	0	0	44	8	29	52	30	1	18	7	0
2016:2:0:0:ZHUBEI	+886972576582	1	3	13	18	1	0	0	35	9	40	76	26	1	29	9	1
2016:2:0:0:ZHUDONG	+886972576528	2	1	4	8	1	0	0	15	6	30	18	7	2	23	10	0
2016:2:0:0:ZHUNAN	+886912576011	0	1	7	5	1	1	1	19	5	50	91	27	3	29	2	0
