	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:4:1:7:BADE	0	0	6	7	0	0	16	11	25	15	0	27
2016:4:1:7:BANQIAO	0	1	2	2	0	1	7	0	14	17	0	25
2016:4:1:7:BEITOU	0	1	3	9	0	0	18	6	32	13	5	39
2016:4:1:7:HUALIAN	0	0	0	14	0	0	18	3	17	15	0	20
2016:4:1:7:JIAN	0	2	4	15	0	1	25	13	34	22	0	40
2016:4:1:7:JILONG	0	0	3	6	0	1	9	4	29	13	3	14
2016:4:1:7:JINGXIN	0	0	5	16	0	0	26	7	32	29	1	30
2016:4:1:7:JINHUA	0	1	6	7	0	0	19	5	23	15	1	44
2016:4:1:7:SANCHONG	0	0	10	6	0	0	24	5	34	24	0	48
2016:4:1:7:SHILIN	0	1	4	14	0	0	27	11	38	22	5	53
2016:4:1:7:SHUANGHE	0	0	5	9	1	1	23	11	29	22	2	34
2016:4:1:7:SONGSHAN	0	0	5	18	0	0	26	9	31	13	1	20
2016:4:1:7:TAIDONG_1_3	0	0	8	3	0	2	12	12	28	10	1	20
2016:4:1:7:TAIDONG_2	0	0	9	5	0	1	15	5	15	6	0	12
2016:4:1:7:TAOYUAN_1_2	0	0	10	14	1	1	24	23	35	23	2	30
2016:4:1:7:TAOYUAN_3	0	1	7	6	0	0	27	12	37	36	4	41
2016:4:1:7:TOUFEN_MIAOLI	0	0	3	3	0	1	7	7	22	7	0	13
2016:4:1:7:TUCHENG	0	1	10	15	0	0	31	10	33	22	4	33
2016:4:1:7:XINAN	0	4	7	9	0	0	12	12	30	13	8	36
2016:4:1:7:XINDIAN	0	1	5	5	0	0	12	3	18	14	1	26
2016:4:1:7:XINZHU	1	1	5	8	0	1	26	12	29	21	3	42
2016:4:1:7:XINZHUANG	0	1	4	4	0	1	13	5	15	14	1	26
2016:4:1:7:XIZHI	0	1	3	5	0	2	12	5	17	7	2	17
2016:4:1:7:YILAN	0	0	5	13	0	0	26	7	29	24	2	42
2016:4:1:7:YULI	0	2	2	3	0	0	7	3	8	7	0	27
2016:4:1:7:ZHONGLI	0	1	7	8	0	1	21	10	31	18	0	26
2016:4:1:7:ZHUBEI	0	4	3	7	2	0	17	3	30	19	0	29
2016:4:1:7:ZHUDONG	0	1	5	3	0	0	9	2	16	5	0	13
2016:4:1:7:ZHUNAN	0	0	9	11	0	0	25	9	30	14	4	30
2016:4:2:7:BADE	0	0	9	6	0	0	22	3	27	17	0	14
2016:4:2:7:BANQIAO	0	0	0	4	0	0	4	6	8	12	0	14
2016:4:2:7:BEITOU	0	2	7	4	1	0	15	10	29	16	0	35
2016:4:2:7:HUALIAN	0	0	2	12	0	0	19	6	19	16	0	15
2016:4:2:7:JIAN	0	1	9	9	1	0	22	13	26	22	0	34
2016:4:2:7:JILONG	0	0	3	7	0	0	10	6	16	4	0	10
2016:4:2:7:JINGXIN	0	1	5	12	1	0	27	10	35	20	2	26
2016:4:2:7:JINHUA	0	2	5	9	1	0	20	7	17	14	0	44
2016:4:2:7:SANCHONG	0	1	6	10	1	0	26	6	32	17	1	36
2016:4:2:7:SHILIN	0	2	7	10	0	0	26	17	34	21	2	40
2016:4:2:7:SHUANGHE	0	0	4	5	0	1	20	11	21	17	2	27
2016:4:2:7:SONGSHAN	0	1	7	13	2	0	27	15	36	18	2	21
2016:4:2:7:TAIDONG_1_3	1	0	6	5	2	0	17	7	18	16	1	31
2016:4:2:7:TAIDONG_2	4	0	4	4	4	0	14	12	16	8	1	11
2016:4:2:7:TAOYUAN_1_2	0	1	15	14	2	0	33	19	33	22	2	29
2016:4:2:7:TAOYUAN_3	0	0	10	9	0	0	26	15	30	24	1	24
2016:4:2:7:TOUFEN_MIAOLI	0	0	2	3	0	0	7	4	10	8	0	34
2016:4:2:7:TUCHENG	0	2	11	10	1	0	31	10	35	20	1	28
2016:4:2:7:XINAN	2	3	5	10	4	0	32	12	29	25	3	62
2016:4:2:7:XINDIAN	0	1	4	5	1	0	14	5	22	17	3	20
2016:4:2:7:XINZHU	0	1	6	9	0	0	22	7	36	28	2	51
2016:4:2:7:XINZHUANG	2	0	2	5	2	0	10	4	11	12	1	13
2016:4:2:7:XIZHI	0	1	2	5	1	0	9	5	18	11	0	20
2016:4:2:7:YILAN	1	0	8	13	1	0	25	9	26	18	0	30
2016:4:2:7:YULI	1	0	3	4	1	0	8	2	9	7	0	19
2016:4:2:7:ZHONGLI	0	0	9	9	0	0	30	13	24	16	0	32
2016:4:2:7:ZHUBEI	2	1	3	8	4	0	16	3	13	9	2	31
2016:4:2:7:ZHUDONG	0	1	6	2	0	0	10	1	10	2	0	9
2016:4:2:7:ZHUNAN	0	1	7	8	1	0	26	15	26	14	0	24
2016:4:3:7:BADE	0	1	6	7	1	0	18	7	31	13	1	14
2016:4:3:7:BANQIAO	0	0	0	6	0	0	12	4	18	23	0	30
2016:4:3:7:BEITOU	0	1	5	7	1	0	16	7	33	14	0	25
2016:4:3:7:HUALIAN	0	0	2	10	1	0	21	4	17	7	0	21
2016:4:3:7:JIAN	0	1	8	10	2	0	24	10	35	26	1	41
2016:4:3:7:JILONG	0	0	4	4	0	0	8	2	23	16	2	6
2016:4:3:7:JINGXIN	0	1	4	11	0	0	20	9	34	28	1	32
2016:4:3:7:JINHUA	0	1	4	9	1	1	21	5	14	18	1	53
2016:4:3:7:SANCHONG	1	1	5	13	1	0	31	10	38	22	3	35
2016:4:3:7:SHILIN	0	2	9	12	0	0	30	11	38	24	2	56
2016:4:3:7:SHUANGHE	0	1	6	4	0	0	27	9	28	24	2	36
2016:4:3:7:SONGSHAN	0	0	4	13	0	1	20	11	28	18	0	38
2016:4:3:7:TAIDONG_1_3	0	1	7	8	1	2	21	13	29	9	0	21
2016:4:3:7:TAIDONG_2	0	0	6	6	0	4	14	10	16	6	0	12
2016:4:3:7:TAOYUAN_1_2	0	0	9	15	0	2	27	12	40	15	4	19
2016:4:3:7:TAOYUAN_3	0	0	8	10	0	0	27	8	25	25	1	38
2016:4:3:7:TOUFEN_MIAOLI	0	0	3	4	1	0	9	9	17	8	1	25
2016:4:3:7:TUCHENG	0	2	12	10	2	1	31	7	39	18	3	44
2016:4:3:7:XINAN	0	1	11	11	0	3	40	14	41	18	8	48
2016:4:3:7:XINDIAN	0	0	5	5	0	1	14	4	16	21	3	23
2016:4:3:7:XINZHU	0	1	7	6	0	0	10	8	30	20	5	30
2016:4:3:7:XINZHUANG	1	0	5	4	1	0	11	2	13	8	0	16
2016:4:3:7:XIZHI	0	0	2	6	0	0	9	4	20	9	0	15
2016:4:3:7:YILAN	0	0	12	9	0	1	23	12	33	25	0	38
2016:4:3:7:YULI	0	1	2	2	0	1	5	1	12	9	1	18
2016:4:3:7:ZHONGLI	0	1	9	10	1	0	31	7	29	11	2	21
2016:4:3:7:ZHUBEI	0	1	1	4	0	3	3	3	22	18	0	21
2016:4:3:7:ZHUDONG	0	1	5	4	1	0	11	7	10	6	3	11
2016:4:3:7:ZHUNAN	1	0	4	13	1	1	20	5	34	19	5	36
2016:4:4:7:BADE	0	1	3	1	0	1	12	3	25	11	0	22
2016:4:4:7:BANQIAO	0	0	2	5	0	0	6	4	8	6	0	9
2016:4:4:7:BEITOU	0	1	7	11	1	1	23	9	35	32	3	36
2016:4:4:7:HUALIAN	0	0	3	10	0	0	17	5	17	12	0	17
2016:4:4:7:JIAN	0	2	7	12	4	0	23	6	32	16	0	34
2016:4:4:7:JILONG	0	0	3	8	0	0	13	6	19	8	3	11
2016:4:4:7:JINGXIN	1	0	5	12	1	0	22	10	34	27	2	51
2016:4:4:7:JINHUA	1	1	3	8	1	0	18	2	16	22	0	62
2016:4:4:7:SANCHONG	1	1	7	12	0	0	29	10	33	21	1	43
2016:4:4:7:SHILIN	0	3	10	11	0	0	33	15	32	21	1	28
2016:4:4:7:SHUANGHE	0	2	6	3	3	0	29	8	34	23	1	27
2016:4:4:7:SONGSHAN	0	0	4	11	0	0	25	11	34	29	2	41
2016:4:4:7:TAIDONG_1_3	0	1	6	3	0	0	13	5	20	16	0	35
2016:4:4:7:TAIDONG_2	0	0	3	7	0	0	13	4	12	5	0	15
2016:4:4:7:TAOYUAN_1_2	1	1	9	9	1	0	23	8	32	10	4	27
2016:4:4:7:TAOYUAN_3	0	1	6	12	1	0	25	8	24	25	0	37
2016:4:4:7:TOUFEN_MIAOLI	0	0	2	7	1	0	9	6	19	4	0	21
2016:4:4:7:TUCHENG	0	0	10	14	0	2	34	8	35	22	6	29
2016:4:4:7:XINAN	0	1	15	13	0	0	43	14	40	25	1	56
2016:4:4:7:XINDIAN	0	0	4	3	0	0	12	3	19	16	2	27
2016:4:4:7:XINZHU	1	1	4	8	4	0	18	10	31	28	1	45
2016:4:4:7:XINZHUANG	0	0	3	4	0	0	11	7	14	18	0	30
2016:4:4:7:XIZHI	0	1	7	5	0	0	12	13	18	13	1	23
2016:4:4:7:YILAN	0	1	14	13	0	0	31	16	33	24	1	37
2016:4:4:7:YULI	0	1	2	3	0	0	9	2	10	12	1	26
2016:4:4:7:ZHONGLI	0	1	11	11	1	1	30	3	20	12	1	24
2016:4:4:7:ZHUBEI	0	1	3	1	1	0	7	5	14	19	0	36
2016:4:4:7:ZHUDONG	0	0	8	0	0	1	9	5	12	4	0	15
2016:4:4:7:ZHUNAN	0	1	5	11	0	1	20	7	28	17	1	21
2016:5:1:7:BADE	0	1	4	5	0	0	14	7	26	37	2	28
2016:5:1:7:BANQIAO	0	0	2	5	0	0	9	8	13	6	0	11
2016:5:1:7:BEITOU	1	0	3	7	2	1	15	4	33	11	2	23
2016:5:1:7:HUALIAN	0	0	4	8	0	0	15	4	24	6	0	7
2016:5:1:7:JIAN	0	2	7	5	1	1	16	15	30	15	4	26
2016:5:1:7:JILONG	0	0	4	6	0	0	11	5	19	9	2	11
2016:5:1:7:JINGXIN	0	1	7	7	0	1	26	10	41	36	1	47
2016:5:1:7:JINHUA	1	1	3	8	0	0	21	4	21	20	0	54
2016:5:1:7:SANCHONG	1	1	8	16	0	0	26	7	34	22	0	35
2016:5:1:7:SHILIN	1	2	11	13	0	0	33	13	29	24	2	48
2016:5:1:7:SHUANGHE	1	1	3	7	2	0	26	7	27	20	3	23
2016:5:1:7:SONGSHAN	0	1	5	17	1	0	32	11	37	26	2	35
2016:5:1:7:TAIDONG_1_3	0	1	7	8	1	0	21	16	22	17	1	28
2016:5:1:7:TAIDONG_2	0	0	5	6	0	0	17	9	15	14	0	15
2016:5:1:7:TAOYUAN_1_2	0	1	10	10	1	1	19	19	34	20	2	23
2016:5:1:7:TAOYUAN_3	0	1	7	6	1	1	23	10	30	20	0	38
2016:5:1:7:TOUFEN_MIAOLI	0	0	2	8	0	1	12	6	16	8	2	18
2016:5:1:7:TUCHENG	0	1	12	16	0	0	43	8	36	23	2	31
2016:5:1:7:XINAN	0	1	17	14	0	0	41	10	34	23	1	41
2016:5:1:7:XINDIAN	0	0	6	6	0	0	19	6	23	21	2	35
2016:5:1:7:XINZHU	1	2	3	8	2	0	20	8	30	22	4	24
2016:5:1:7:XINZHUANG	0	0	4	2	0	0	6	4	16	12	0	26
2016:5:1:7:XIZHI	0	0	5	6	0	0	12	5	27	14	3	29
2016:5:1:7:YILAN	0	2	9	11	0	0	23	13	32	24	1	36
2016:5:1:7:YULI	0	1	2	4	0	0	14	2	10	20	2	29
2016:5:1:7:ZHONGLI	0	2	7	12	2	0	32	9	33	18	0	32
2016:5:1:7:ZHUBEI	0	0	4	5	0	1	14	9	27	23	2	29
2016:5:1:7:ZHUDONG	0	0	8	2	0	0	10	2	19	11	0	15
2016:5:1:7:ZHUNAN	0	1	15	5	0	0	26	17	29	26	4	31
2016:5:2:7:BADE	0	1	4	3	0	0	9	6	30	15	1	18
2016:5:2:7:BANQIAO	0	0	0	6	0	0	9	6	14	9	0	4
2016:5:2:7:BEITOU	1	1	5	6	1	1	16	12	29	22	1	35
2016:5:2:7:HUALIAN	0	1	4	10	0	0	16	3	19	16	0	15
2016:5:2:7:JIAN	0	4	5	9	3	1	25	8	44	38	1	36
2016:5:2:7:JILONG	0	0	2	9	0	0	15	10	21	9	2	7
2016:5:2:7:JINGXIN	0	3	7	12	1	0	31	9	49	36	1	38
2016:5:2:7:JINHUA	1	1	5	6	0	0	22	4	18	15	0	47
2016:5:2:7:SANCHONG	1	2	10	10	0	0	25	16	36	19	1	35
2016:5:2:7:SHILIN	0	2	11	7	0	0	27	9	29	29	2	38
2016:5:2:7:SHUANGHE	0	0	4	8	1	1	19	7	29	16	2	23
2016:5:2:7:SONGSHAN	0	1	5	13	0	1	24	13	36	26	4	35
2016:5:2:7:TAIDONG_1_3	1	0	4	6	0	0	16	9	17	18	9	24
2016:5:2:7:TAIDONG_2	1	0	4	6	1	0	12	8	14	6	6	12
2016:5:2:7:TAOYUAN_1_2	0	0	11	8	0	1	15	12	35	8	4	24
2016:5:2:7:TAOYUAN_3	0	0	5	8	0	1	21	3	26	27	3	35
2016:5:2:7:TOUFEN_MIAOLI	0	0	2	7	0	0	10	9	22	8	1	8
2016:5:2:7:TUCHENG	1	0	11	8	0	0	24	8	36	26	4	44
2016:5:2:7:XINAN	0	3	9	18	0	0	38	12	33	15	4	45
2016:5:2:7:XINDIAN	0	0	6	4	0	0	16	3	21	19	2	30
2016:5:2:7:XINZHU	0	2	4	13	2	0	27	6	30	26	3	42
2016:5:2:7:XINZHUANG	0	0	8	1	0	0	16	8	18	14	0	22
2016:5:2:7:XIZHI	0	1	6	5	0	0	14	8	23	13	1	31
2016:5:2:7:YILAN	0	2	14	7	1	0	23	11	26	18	0	28
2016:5:2:7:YULI	0	1	3	4	0	0	15	1	12	17	2	24
2016:5:2:7:ZHONGLI	0	0	5	17	0	2	25	6	16	17	0	33
2016:5:2:7:ZHUBEI	0	0	5	4	0	0	11	5	19	14	3	19
2016:5:2:7:ZHUDONG	0	0	5	1	0	0	9	6	14	11	0	19
2016:5:2:7:ZHUNAN	2	2	15	2	1	0	17	19	30	21	2	16
