	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:1:5:7:TAIDONG_2	1	0	7	6	1	0	13	10	22	7	0	11
2016:1:5:7:TAOYUAN	0	0	4	0	0	0	5	0	6	1	0	7
2016:1:5:7:TAOYUAN_1_2	1	0	4	3	1	0	10	5	12	7	0	38
2016:1:5:7:TAOYUAN_3	0	0	5	13	0	1	23	2	26	19	0	44
2016:1:5:7:TOUFEN_MIAOLI	1	0	3	7	1	1	13	9	20	8	0	22
2016:1:5:7:TUCHENG	0	1	3	16	0	1	24	6	24	32	0	58
2016:1:5:7:WANDA	0	0	9	14	0	2	31	4	33	24	0	129
2016:1:5:7:XINAN	0	0	10	11	0	1	28	5	23	21	0	92
2016:1:5:7:XINDIAN	0	0	4	9	0	0	13	7	29	19	0	32
2016:1:5:7:XINZHU	0	1	10	10	0	1	29	12	35	21	0	61
2016:1:5:7:XINZHUANG	0	1	4	4	0	1	12	4	6	8	0	20
2016:1:5:7:XIZHI	0	1	1	5	0	2	8	5	24	16	0	42
2016:1:5:7:YILAN	0	1	1	9	0	0	20	8	28	22	0	38
2016:1:5:7:YULI	0	0	4	5	0	0	9	1	7	6	0	36
2016:1:5:7:ZHONGLI	0	0	3	6	0	0	22	5	13	9	0	26
2016:1:5:7:ZHUBEI	0	1	7	7	2	1	15	5	21	11	0	38
2016:1:5:7:ZHUDONG	1	0	2	6	0	0	9	3	12	3	0	6
2016:1:5:7:ZHUNAN	0	0	2	10	0	1	15	7	22	16	0	41
2016:2:1:7:BADE	2	0	3	7	0	1	19	4	23	16	0	34
2016:2:1:7:BANQIAO	1	2	7	10	0	0	25	7	20	12	0	60
2016:2:1:7:BEITOU	2	3	3	9	0	0	25	4	35	16	2	30
2016:2:1:7:HUALIAN	0	0	6	9	0	0	18	1	17	9	0	15
2016:2:1:7:JIAN	0	1	2	6	0	0	16	9	18	17	1	32
2016:2:1:7:JILONG	0	1	1	11	0	0	13	9	13	8	0	11
2016:2:1:7:JINGXIN	0	1	11	9	0	0	31	8	22	39	0	55
2016:2:1:7:JINHUA	0	1	5	10	0	0	19	4	20	14	2	32
2016:2:1:7:OFFICE	0	0	7	7	0	0	25	1	7	7	2	17
2016:2:1:7:SANCHONG	0	0	4	9	0	0	16	7	36	26	0	43
2016:2:1:7:SHILIN	0	0	1	1	0	0	6	1	11	5	0	25
2016:2:1:7:SHUANGHE	0	0	7	13	0	0	34	2	33	16	0	42
2016:2:1:7:SONGSHAN	0	0	12	14	0	1	26	4	30	19	0	39
2016:2:1:7:TAIDONG_1_3	0	2	4	7	0	0	16	2	15	5	0	33
2016:2:1:7:TAIDONG_2	0	0	7	7	1	1	14	3	14	6	0	14
2016:2:1:7:TAOYUAN	0	0	2	0	0	0	4	2	7	0	0	20
2016:2:1:7:TAOYUAN_1_2	1	0	3	3	0	0	13	4	18	9	0	39
2016:2:1:7:TAOYUAN_3	0	0	3	15	0	0	20	0	18	16	0	46
2016:2:1:7:TOUFEN_MIAOLI	1	1	2	3	0	0	8	4	17	9	0	33
2016:2:1:7:TUCHENG	0	0	6	12	0	0	22	6	34	28	1	43
2016:2:1:7:WANDA	0	1	9	16	0	0	35	7	43	38	2	96
2016:2:1:7:XINAN	0	0	11	13	0	0	41	4	30	31	2	81
2016:2:1:7:XINDIAN	0	0	7	12	0	0	16	7	32	16	0	33
2016:2:1:7:XINZHU	0	1	8	9	0	0	25	6	22	32	0	70
2016:2:1:7:XINZHUANG	0	1	4	4	0	0	11	0	17	3	0	15
2016:2:1:7:XIZHI	0	0	3	8	0	0	13	4	18	18	0	57
2016:2:1:7:YILAN	0	1	2	7	0	0	18	7	31	23	0	56
2016:2:1:7:YULI	0	0	4	5	0	0	10	1	4	10	0	34
2016:2:1:7:ZHONGLI	0	0	4	7	0	0	26	5	19	16	0	32
2016:2:1:7:ZHUBEI	0	1	8	9	0	0	18	3	23	15	0	48
2016:2:1:7:ZHUDONG	1	1	2	4	0	0	8	3	13	4	0	8
2016:2:1:7:ZHUNAN	0	0	5	5	0	0	14	2	25	14	0	47
2016:2:2:7:BADE	1	0	0	13	1	1	23	13	20	19	2	21
2016:2:2:7:BANQIAO	1	3	5	9	0	0	22	9	17	8	1	26
2016:2:2:7:BEITOU	2	4	4	7	0	0	22	9	25	15	4	30
2016:2:2:7:HUALIAN	0	1	7	4	0	0	12	5	12	13	0	18
2016:2:2:7:JIAN	1	1	6	10	2	0	25	7	25	13	4	34
2016:2:2:7:JILONG	0	1	1	10	1	0	12	6	10	5	0	10
2016:2:2:7:JINGXIN	0	1	9	10	1	0	28	14	30	22	0	34
2016:2:2:7:JINHUA	0	1	6	5	1	0	21	5	20	18	1	38
2016:2:2:7:OFFICE	0	0	6	6	0	0	20	6	6	7	3	8
2016:2:2:7:SANCHONG	0	1	4	7	0	0	19	6	26	19	1	36
2016:2:2:7:SHILIN	0	0	0	2	0	0	6	4	11	15	1	34
2016:2:2:7:SHUANGHE	0	0	12	8	0	0	32	13	31	30	1	57
2016:2:2:7:SONGSHAN	0	0	9	13	0	0	23	7	23	14	2	31
2016:2:2:7:TAIDONG_1_3	1	2	3	4	1	0	14	6	13	11	1	22
2016:2:2:7:TAIDONG_2	1	0	6	9	1	0	16	2	9	8	3	20
2016:2:2:7:TAOYUAN	0	0	0	1	0	0	4	0	3	6	0	17
2016:2:2:7:TAOYUAN_1_2	1	1	4	2	0	0	14	9	16	7	2	27
2016:2:2:7:TAOYUAN_3	0	0	3	14	0	0	21	3	8	22	0	60
2016:2:2:7:TOUFEN_MIAOLI	0	1	3	2	0	1	8	6	15	8	1	25
2016:2:2:7:TUCHENG	0	1	6	11	1	0	24	13	19	17	2	27
2016:2:2:7:WANDA	0	1	12	13	1	0	42	10	44	37	4	76
2016:2:2:7:XINAN	0	0	12	14	0	0	41	11	30	26	6	46
2016:2:2:7:XINDIAN	0	1	8	9	1	0	20	7	29	23	1	34
2016:2:2:7:XINZHU	0	2	5	9	1	0	20	9	10	20	1	48
2016:2:2:7:XINZHUANG	0	1	4	4	0	0	12	2	4	8	0	13
2016:2:2:7:XIZHI	0	1	2	5	1	0	15	3	14	13	0	41
2016:2:2:7:YILAN	0	0	2	6	0	1	13	5	10	15	0	53
2016:2:2:7:YULI	0	0	4	5	0	0	10	1	4	13	0	23
2016:2:2:7:ZHONGLI	0	0	2	5	0	0	18	3	10	14	1	20
2016:2:2:7:ZHUBEI	1	2	5	9	1	0	17	6	17	11	1	28
2016:2:2:7:ZHUDONG	1	0	2	4	1	0	7	3	17	3	2	10
2016:2:2:7:ZHUNAN	0	1	2	0	1	1	5	3	25	13	3	44
2016:2:3:7:BADE	0	0	3	10	0	1	18	10	25	19	0	14
2016:2:3:7:BANQIAO	1	2	5	11	2	1	29	11	26	20	6	39
2016:2:3:7:BEITOU	2	3	4	4	0	0	18	9	32	22	0	35
2016:2:3:7:HUALIAN	1	0	5	8	0	0	17	1	17	21	1	31
2016:2:3:7:JIAN	0	2	5	7	1	2	23	9	22	19	0	48
2016:2:3:7:JILONG	0	0	2	11	0	1	13	6	18	8	0	15
2016:2:3:7:JINGXIN	1	2	4	11	2	1	28	12	37	27	0	40
2016:2:3:7:JINHUA	1	1	4	9	1	1	24	13	30	16	2	35
2016:2:3:7:OFFICE	0	0	10	14	0	0	28	9	9	8	4	13
2016:2:3:7:SANCHONG	0	0	4	7	1	0	19	3	32	25	4	45
2016:2:3:7:SHILIN	0	0	0	1	0	0	10	1	8	15	0	31
2016:2:3:7:SHUANGHE	0	0	11	5	0	0	27	11	54	19	3	34
2016:2:3:7:SONGSHAN	0	0	11	9	0	0	22	8	31	21	0	33
2016:2:3:7:TAIDONG_1_3	0	2	5	1	1	0	11	7	16	14	0	41
2016:2:3:7:TAIDONG_2	0	0	7	4	1	1	11	3	21	7	0	21
2016:2:3:7:TAOYUAN	0	0	1	1	0	0	3	3	8	9	0	14
2016:2:3:7:TAOYUAN_1_2	0	2	5	1	1	0	16	8	25	28	0	49
2016:2:3:7:TAOYUAN_3	0	0	3	14	0	0	21	8	28	24	0	41
2016:2:3:7:TOUFEN_MIAOLI	0	2	3	4	0	0	10	8	26	11	1	23
2016:2:3:7:TUCHENG	0	0	5	16	0	1	31	13	35	33	2	37
2016:2:3:7:WANDA	1	2	10	14	2	1	46	17	61	30	2	94
2016:2:3:7:XINAN	0	1	16	19	1	0	50	13	40	22	4	72
2016:2:3:7:XINDIAN	0	1	9	7	1	1	19	11	28	16	2	26
2016:2:3:7:XINZHU	0	1	7	11	0	1	24	10	26	25	0	46
2016:2:3:7:XINZHUANG	0	1	4	2	0	0	8	3	12	4	0	13
2016:2:3:7:XIZHI	0	0	1	3	0	1	11	4	24	14	0	34
2016:2:3:7:YILAN	0	1	2	6	0	0	15	8	30	16	0	53
2016:2:3:7:YULI	0	0	4	6	0	0	10	2	8	10	0	21
2016:2:3:7:ZHONGLI	0	0	5	2	0	0	23	8	26	8	2	15
2016:2:3:7:ZHUBEI	3	1	3	8	4	0	15	8	31	17	0	40
2016:2:3:7:ZHUDONG	0	0	2	5	0	1	7	2	13	4	1	7
2016:2:3:7:ZHUNAN	0	2	3	2	1	0	9	3	17	18	0	58
2016:2:4:7:BADE	0	2	3	10	0	0	22	7	23	22	2	32
2016:2:4:7:BANQIAO	1	1	5	12	0	1	23	10	20	11	5	35
2016:2:4:7:BEITOU	2	1	3	7	0	1	15	13	31	18	0	33
2016:2:4:7:HUALIAN	0	0	5	9	0	1	22	4	22	11	2	22
2016:2:4:7:JIAN	0	2	4	13	0	1	20	10	22	14	3	32
2016:2:4:7:JILONG	0	0	3	11	0	0	14	6	16	3	2	9
2016:2:4:7:JINGXIN	1	1	1	13	2	2	25	9	36	27	0	32
2016:2:4:7:JINHUA	1	2	3	11	2	0	20	5	18	8	2	29
2016:2:4:7:OFFICE	0	0	11	14	0	0	25	7	11	2	2	8
2016:2:4:7:SANCHONG	0	0	6	7	0	0	20	8	36	16	2	27
2016:2:4:7:SHILIN	0	0	0	1	0	0	6	1	7	6	1	22
2016:2:4:7:SHUANGHE	0	1	13	7	2	0	33	16	49	29	6	39
2016:2:4:7:SONGSHAN	0	0	10	7	0	0	24	14	34	16	3	30
2016:2:4:7:TAIDONG_1_3	0	2	5	3	2	1	12	12	14	12	1	31
2016:2:4:7:TAIDONG_2	0	0	7	3	0	1	12	6	17	5	3	15
2016:2:4:7:TAOYUAN_1_2	1	1	5	2	2	1	15	14	30	14	5	25
2016:2:4:7:TAOYUAN_3	0	0	2	12	0	0	19	4	20	21	1	49
