	A	B	BAP	BD	C	CONF	D	LAC	NEXTWEEKBAP	NIMEMREF	NIMISSFIND	OL	PK	RCLA	RCT	SAC
2016:2:0:0:LUZHOU	0	0	0	45	10	0	23	7	0	6	53	105	51	16	3	11
2016:2:0:0:MIAOLI	0	5	0	18	4	0	5	12	1	1	26	50	55	16	0	18
2016:2:0:0:MUZHA	1	4	2	63	9	2	34	7	3	0	68	99	63	19	0	25
2016:2:0:0:NEIHU	0	0	0	23	7	0	12	15	0	1	25	61	32	31	0	11
2016:2:0:0:SANCHONG	0	1	0	29	8	0	7	1	1	1	33	46	79	40	1	13
2016:2:0:0:SANXIA	0	0	0	42	7	0	29	7	0	3	43	68	47	32	0	21
2016:2:0:0:SHILIN	0	0	0	27	1	0	5	6	0	1	33	81	31	19	0	5
2016:2:0:0:SIYUAN	0	0	0	17	4	0	6	2	0	1	17	43	28	12	0	2
2016:2:0:0:SONGSHAN	0	0	1	72	35	1	31	9	0	4	45	72	86	32	2	22
2016:2:0:0:TAIDONG_1	0	0	0	26	6	0	11	10	0	1	34	87	41	34	0	12
2016:2:0:0:TAIDONG_2	1	0	3	53	27	3	23	9	3	6	26	70	61	18	0	14
2016:2:0:0:TAIDONG_3	1	8	1	27	11	1	4	11	4	1	8	40	17	7	0	15
2016:2:0:0:TAOYUAN_1	1	3	1	9	3	1	0	2	2	2	13	38	28	9	0	10
2016:2:0:0:TAOYUAN_2	2	1	0	43	11	0	6	15	1	5	35	84	44	25	0	20
2016:2:0:0:TAOYUAN_3	0	0	0	37	4	0	25	6	0	1	38	69	36	19	0	6
2016:2:0:0:TAOYUAN_4	0	0	0	44	7	0	30	17	0	0	45	127	38	26	0	9
2016:2:0:0:TIANMU	0	0	0	1	0	0	0	1	0	1	8	31	6	6	1	2
2016:2:0:0:TOUFEN	1	0	1	20	7	1	10	11	0	1	20	65	24	28	0	4
2016:2:0:0:TUCHENG	0	1	1	61	16	1	22	29	1	3	55	86	76	75	1	18
2016:2:0:0:WANDA	1	1	1	54	15	0	19	7	1	6	53	139	79	29	0	20
2016:2:0:0:XIANGSHAN	0	2	0	18	5	0	5	11	0	2	35	116	39	21	0	7
2016:2:0:0:XINAN	0	1	0	126	45	0	42	14	0	9	49	110	58	40	1	26
2016:2:0:0:XINBAN	2	4	1	41	9	1	14	5	0	5	21	86	32	14	0	19
2016:2:0:0:XINDIAN	0	1	1	47	24	1	19	7	1	5	48	80	81	37	0	23
2016:2:0:0:XINPU	2	4	1	58	13	1	28	14	2	7	30	74	51	38	1	18
2016:2:0:0:XINZHU_1	0	2	1	33	11	1	9	13	2	1	58	102	40	31	0	14
2016:2:0:0:XINZHU_3	0	5	0	55	15	0	30	9	0	1	44	105	42	26	0	14
2016:2:0:0:XIZHI	0	1	1	49	8	1	19	8	1	0	62	165	76	38	1	19
2016:2:0:0:YILAN	0	2	1	66	8	1	28	5	0	0	79	207	98	44	0	26
2016:2:0:0:YONGHE	0	1	0	29	10	0	6	12	1	5	36	84	58	24	0	17
2016:2:0:0:YULI	0	0	0	36	14	0	20	13	0	0	43	107	23	24	0	5
2016:2:0:0:ZHONGHE_1	0	0	0	23	5	0	2	12	0	1	19	33	31	24	0	10
2016:2:0:0:ZHONGHE_2	0	0	0	74	28	0	25	17	1	4	39	55	78	38	2	15
2016:2:0:0:ZHONGLI_1	0	0	0	71	10	0	13	15	0	3	33	55	38	30	0	12
2016:2:0:0:ZHONGLI_2	1	0	0	19	3	0	7	3	0	0	11	26	30	9	0	9
2016:2:0:0:ZHUBEI_1	1	3	1	18	5	1	9	5	2	0	22	44	21	12	0	8
2016:2:0:0:ZHUBEI_2	3	1	1	15	5	1	6	9	3	2	27	59	41	34	1	6
2016:2:0:0:ZHUBEI_3	0	1	1	16	5	1	10	2	1	0	5	20	26	4	0	9
2016:2:0:0:ZHUDONG	2	1	1	26	8	1	15	21	1	3	19	42	57	46	2	13
2016:2:0:0:ZHUNAN	0	2	2	26	8	2	10	5	3	6	27	68	57	41	0	9
2016:3:0:0:ANKANG	0	1	0	14	10	0	2	6	1	1	14	20	28	25	0	16
2016:3:0:0:BADE	0	2	2	58	10	2	25	12	2	4	42	51	49	52	5	25
2016:3:0:0:BEITOU	0	0	0	31	6	0	16	6	0	3	35	54	70	30	0	16
2016:3:0:0:DANFENG	0	3	1	21	13	1	3	4	1	6	15	17	28	21	2	12
2016:3:0:0:DANSHUI	1	8	0	26	8	1	6	9	2	3	19	37	36	19	0	10
2016:3:0:0:GUISHAN	0	2	0	11	5	0	3	2	0	2	10	19	19	7	1	5
2016:3:0:0:HUALIAN_1	1	1	1	36	6	1	15	5	1	2	25	70	48	19	1	6
2016:3:0:0:HUALIAN_2	0	0	0	19	11	0	3	3	0	1	29	43	28	12	0	6
2016:3:0:0:HUALIAN_3	0	0	0	65	15	1	24	10	0	0	50	67	38	34	0	14
2016:3:0:0:JILONG	1	0	0	42	14	0	26	22	0	2	17	30	55	45	0	16
2016:3:0:0:JINGXIN	1	1	1	30	4	2	10	11	1	2	33	52	48	24	0	20
2016:3:0:0:JINHUA	3	1	2	51	12	2	25	9	5	0	65	189	64	26	1	15
2016:3:0:0:LONGTAN	0	0	0	11	3	0	3	7	0	1	7	8	29	17	1	3
2016:3:0:0:LUZHOU	0	0	0	36	14	0	14	7	0	2	24	58	41	21	0	6
2016:3:0:0:MIAOLI	0	3	0	10	1	0	4	5	1	0	4	22	19	7	0	10
2016:3:0:0:MUZHA	0	1	1	36	10	1	21	10	1	1	41	66	37	27	0	11
2016:3:0:0:NEIHU	0	2	0	26	6	0	18	15	0	2	29	49	35	20	0	15
2016:3:0:0:SANCHONG	0	0	0	26	10	0	12	3	2	5	18	37	54	25	0	16
2016:3:0:0:SANXIA	0	0	0	28	6	0	16	4	0	3	28	47	45	26	0	9
2016:3:0:0:SHILIN	0	0	0	15	0	0	7	8	0	3	30	59	31	20	1	9
2016:3:0:0:SIYUAN	0	0	0	9	2	0	7	4	0	0	12	36	19	10	0	1
2016:3:0:0:SONGSHAN	0	2	0	46	22	0	19	11	1	0	25	36	55	24	2	21
2016:3:0:0:TAIDONG_1	2	1	1	33	8	1	11	7	2	0	30	59	41	27	0	15
2016:3:0:0:TAIDONG_2	1	2	0	36	16	0	15	4	1	4	22	55	57	25	0	36
2016:3:0:0:TAIDONG_3	0	0	2	16	10	2	9	16	0	0	5	27	13	7	1	8
2016:3:0:0:TAOYUAN_1	0	0	1	7	4	1	3	4	0	3	12	20	28	16	0	8
2016:3:0:0:TAOYUAN_2	0	1	1	24	9	1	11	15	0	3	21	51	39	21	0	19
2016:3:0:0:TAOYUAN_3	0	0	0	46	4	0	22	3	0	8	37	63	27	14	0	8
2016:3:0:0:TAOYUAN_4	0	0	0	28	4	0	9	2	0	2	35	66	36	21	2	14
2016:3:0:0:TIANMU	0	1	0	22	2	0	6	2	0	3	40	103	38	10	0	18
