	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL	N_COMPS
2016:4:0:0:DANSHUI_B_E	0	0	7	8	0	0	17	2	19	19	3	35	
2016:4:0:0:GUISHAN_E	0	1	14	4	0	0	19	12	33	13	3	15	
2016:4:0:0:HUALIAN_1_E	0	0	4	13	0	0	17	6	27	6	0	21	
2016:4:0:0:HUALIAN_1_S	0	3	14	2	2	0	22	10	29	28	0	47	
2016:4:0:0:HUALIAN_2_E	0	3	4	21	3	1	35	7	30	27	1	34	
2016:4:0:0:HUALIAN_2_ZL	0	0	6	10	2	0	20	19	41	25	0	47	
2016:4:0:0:HUALIAN_3_E	0	0	6	30	0	0	38	7	33	24	0	43	
2016:4:0:0:HUALIAN_3_S	0	0	1	16	1	0	37	11	37	26	0	30	
2016:4:0:0:JILONG_A_E	0	0	9	16	0	0	26	8	50	25	6	25	
2016:4:0:0:JILONG_B_E	0	0	4	9	0	1	14	10	37	16	2	16	
2016:4:0:0:JINGXIN_S	0	1	0	3	1	0	5	4	29	13	0	34	
2016:4:0:0:JINGXIN_ZL	1	1	11	14	1	0	42	14	41	38	1	39	
2016:4:0:0:JINHUA_S	0	0	2	0	1	0	9	2	15	17	0	62	
2016:4:0:0:JINHUA_ZL	1	4	10	25	1	0	50	7	33	23	2	45	
2016:4:0:0:LONGTAN_E	0	0	4	7	0	0	15	7	25	11	0	13	
2016:4:0:0:LUODONG_A_E	0	0	7	6	0	0	13	11	29	28	0	23	
2016:4:0:0:LUODONG_B_E	1	0	1	19	1	1	21	9	26	21	1	28	
2016:4:0:0:LUZHOU_A_E	0	0	10	12	1	0	27	4	32	21	1	57	
2016:4:0:0:LUZHOU_B_E	2	3	4	5	1	0	37	3	21	33	0	54	
2016:4:0:0:MIAOLI_E	0	0	5	9	2	0	17	15	28	11	1	41	
2016:4:0:0:MUZHA_E	0	0	4	19	0	0	29	13	31	26	2	38	
2016:4:0:0:MUZHA_S	0	0	4	15	0	0	19	5	34	27	3	28	
2016:4:0:0:NEIHU_E	0	0	3	6	0	0	17	8	27	19	3	17	
2016:4:0:0:NEIHU_S	0	1	3	17	1	1	21	13	27	16	0	21	
2016:4:0:0:OFFICE_E	0	0	0	0	0	0	0	1	1	1	0	5	
2016:4:0:0:SANCHONG_E	0	0	10	21	0	0	31	13	49	17	2	21	
2016:4:0:0:SANCHONG_S	0	0	4	3	0	0	15	11	35	13	2	30	
2016:4:0:0:SANXIA_A_E	0	2	4	8	1	1	22	9	25	16	3	38	
2016:4:0:0:SANXIA_B_E	0	0	10	0	0	0	20	3	29	21	0	24	
2016:4:0:0:SHILIN_S	0	0	5	11	0	0	22	5	27	11	2	23	
2016:4:0:0:SHILIN_ZL	0	0	2	14	0	0	26	14	36	29	3	47	
2016:4:0:0:SIYUAN_E	1	1	6	2	1	0	10	6	15	18	1	47	
2016:4:0:0:SONGSHAN_S	0	0	8	18	0	0	36	8	34	17	0	25	
2016:4:0:0:SONGSHAN_ZL	0	0	7	19	1	0	32	14	43	25	1	43	
2016:4:0:0:TAIDONG_1_E	0	2	14	10	0	1	28	19	40	16	0	43	
2016:4:0:0:TAIDONG_1_S	0	0	7	5	2	1	21	8	33	24	1	39	
2016:4:0:0:TAIDONG_2_S	4	0	5	6	4	4	21	9	25	16	1	15	
2016:4:0:0:TAIDONG_2_ZL	0	0	17	15	0	1	37	22	35	9	0	30	
2016:4:0:0:TAIDONG_3_E	1	0	6	4	1	2	14	10	22	11	1	25	
2016:4:0:0:TAO_1_A	1	0	13	11	1	0	25	15	34	13	1	30	
2016:4:0:0:TAO_1_B	0	0	1	3	2	1	5	15	27	8	3	12	
2016:4:0:0:TAO_2_E	0	1	8	11	1	1	28	8	25	16	2	31	
2016:4:0:0:TAO_2_S	0	0	7	23	0	1	30	12	21	20	3	17	
2016:4:0:0:TAO_3_E	1	1	2	4	1	0	8	8	15	3	0	11	
2016:4:0:0:TAO_3_E_ZL	0	1	23	17	0	0	57	18	46	71	1	55	
2016:4:0:0:TAO_4_E	0	1	2	8	0	0	19	3	21	12	3	23	
2016:4:0:0:TAO_4_S	0	0	5	3	0	0	23	5	30	23	2	52	
2016:4:0:0:TIANMU_A_E	0	1	7	16	1	0	30	12	39	23	2	41	
2016:4:0:0:TIANMU_B_E	0	7	15	9	0	0	40	19	39	28	3	61	
2016:4:0:0:TOUFEN_E	0	0	5	8	0	1	15	11	40	16	0	52	
2016:4:0:0:TOUR_S	0	1	6	8	1	1	21	9	19	26	0	77	
2016:4:0:0:TUCHENG_S	0	2	15	27	1	1	44	10	27	11	3	19	
2016:4:0:0:TUCHENG_ZL	0	1	15	12	1	0	40	10	51	27	4	51	
2016:4:0:0:WANDA_E	0	2	3	17	1	1	33	7	39	26	3	51	
2016:4:0:0:WANDA_S	0	0	4	6	0	0	16	9	17	11	2	44	
2016:4:0:0:XIANGSHAN_E	0	1	8	5	1	1	20	12	38	27	4	39	
2016:4:0:0:XINAN_S	0	4	6	10	1	0	27	9	47	22	4	73	
2016:4:0:0:XINBAN_E	0	0	1	10	0	0	13	8	21	26	0	26	
2016:4:0:0:XINDIAN_E	0	0	5	3	0	0	11	4	23	23	0	29	
2016:4:0:0:XINDIAN_S	0	0	4	7	0	0	16	1	18	23	2	32	
2016:4:0:0:XINPU_E	0	1	3	7	0	0	12	4	20	18	0	22	
2016:4:0:0:XINZHU_1_E	0	1	5	1	0	0	10	13	16	13	3	35	
2016:4:0:0:XINZHU_1_S	0	0	8	2	2	1	24	7	37	33	2	56	
2016:4:0:0:XINZHU_3_S	0	0	1	14	1	0	16	6	34	20	5	31	
2016:4:0:0:XINZHU_3_ZL	2	3	8	14	1	0	26	11	39	31	1	46	
2016:4:0:0:XIZHI_A_E	0	0	5	11	0	0	16	10	23	17	1	28	
2016:4:0:0:XIZHI_B_E	0	0	9	10	0	0	20	10	26	17	1	36	
2016:4:0:0:XIZHI_S	0	3	0	0	1	2	6	7	24	6	1	11	
2016:4:0:0:YILAN_E	0	0	16	8	0	0	31	9	27	20	0	70	
2016:4:0:0:YILAN_S	0	1	15	15	0	0	40	15	39	22	2	26	
2016:4:0:0:YONGHE_S	0	0	7	7	1	1	33	15	27	32	2	56	
2016:4:0:0:YULI_E	0	2	6	4	0	0	15	1	23	16	1	42	
2016:4:0:0:YULI_S	1	2	3	8	1	1	14	7	16	19	1	48	
2016:4:0:0:ZHONGHE_1_E	0	0	2	3	1	0	13	6	24	15	4	27	
2016:4:0:0:ZHONGHE_2_E	0	2	2	5	1	0	24	6	25	24	1	29	
2016:4:0:0:ZHONGHE_2_S	0	1	10	6	1	1	29	12	36	15	0	12	
2016:4:0:0:ZHONGLI_1_E	0	0	12	10	1	1	47	6	39	11	0	19	
2016:4:0:0:ZHONGLI_1_S	0	1	12	5	0	0	23	11	29	20	0	48	
2016:4:0:0:ZHONGLI_2_E	0	2	12	23	1	1	42	16	36	26	3	36	
2016:4:0:0:ZHUBEI_1_E	0	0	4	4	0	0	5	4	27	14	1	42	
2016:4:0:0:ZHUBEI_2_E	0	3	1	0	1	0	4	2	13	10	0	24	
2016:4:0:0:ZHUBEI_2_S	0	0	4	14	3	0	20	0	16	19	1	29	
2016:4:0:0:ZHUBEI_3_S	2	4	1	2	3	3	14	8	23	22	0	22	
2016:4:0:0:ZHUDONG_E	0	3	5	3	1	1	19	4	27	12	0	29	
2016:4:0:0:ZHUDONG_S	0	0	19	6	0	0	20	11	21	5	3	19	
2016:4:0:0:ZHUNAN_S	1	0	7	19	1	1	36	14	42	20	3	38	
2016:4:0:0:ZHUNAN_ZL	0	1	10	19	0	0	35	10	38	17	3	34	
2016:5:0:0:+886965073051	0	1	2	4	0	0	14	1	9	8	1	12	
2016:5:0:0:ANKANG_E	0	1	8	3	0	0	20	6	35	21	3	33	
2016:5:0:0:ASSISTANTS	0	0	20	21	0	0	52	11	27	19	1	29	
2016:5:0:0:BADE_A_E	0	2	4	5	0	0	13	4	24	13	1	21	
2016:5:0:0:BADE_B_E	0	0	5	6	0	0	12	6	17	16	0	19	
2016:5:0:0:BADE_S	0	0	0	5	0	0	11	1	17	23	1	18	
2016:5:0:0:BEITOU_E	3	2	3	8	2	1	16	9	33	14	1	31	
2016:5:0:0:BEITOU_S	0	1	3	4	3	1	15	3	24	20	3	32	
2016:5:0:0:DANFENG_E	0	0	9	1	0	0	19	6	24	26	0	36	
2016:5:0:0:DANSHUI_A_E	0	0	2	2	0	1	4	8	19	8	0	12	
2016:5:0:0:DANSHUI_B_E	0	0	6	2	0	0	10	5	18	8	0	14	
2016:5:0:0:GUISHAN_E	1	1	9	0	1	1	11	6	24	7	1	11	
2016:5:0:0:HUALIAN_1_E	0	2	3	3	1	0	10	1	18	15	1	22	
2016:5:0:0:HUALIAN_1_S	0	1	3	9	2	1	20	3	34	21	1	21	
2016:5:0:0:HUALIAN_2_E	0	1	6	7	2	1	19	10	26	23	3	22	
2016:5:0:0:HUALIAN_2_ZL	0	7	3	5	1	0	16	14	34	25	2	45	
2016:5:0:0:HUALIAN_3_E	0	2	7	14	1	0	23	5	31	20	0	39	
2016:5:0:0:HUALIAN_3_S	0	0	4	9	0	0	18	6	31	15	2	10	
2016:5:0:0:JILONG_A_E	0	0	2	14	0	0	18	13	34	16	3	12	
2016:5:0:0:JILONG_B_E	0	0	7	10	0	0	20	9	37	16	2	14	
2016:5:0:0:JINGXIN_S	0	3	4	8	1	0	24	4	31	29	2	45	
2016:5:0:0:JINGXIN_ZL	0	2	8	8	0	1	27	10	35	33	0	34	
2016:5:0:0:JINHUA_S	0	0	0	1	0	0	6	2	12	11	0	44	
2016:5:0:0:JINHUA_ZL	4	2	9	21	2	0	52	8	26	14	0	22	
2016:5:0:0:LONGTAN_E	0	0	2	0	0	0	2	6	29	16	1	10	
2016:5:0:0:LUODONG_A_E	0	2	9	12	1	0	23	11	22	12	1	13	
2016:5:0:0:LUODONG_B_E	1	1	1	8	1	0	11	6	26	21	0	20	
2016:5:0:0:LUZHOU_A_E	0	1	12	13	1	0	27	13	37	16	1	26	
2016:5:0:0:LUZHOU_B_E	4	2	3	4	2	0	17	8	21	14	0	14	
2016:5:0:0:MIAOLI_E	0	0	3	6	0	1	11	9	21	4	2	9	
2016:5:0:0:MUZHA_E	0	0	6	1	1	0	16	5	36	20	0	17	
2016:5:0:0:MUZHA_S	0	1	3	10	1	0	14	12	29	14	0	21	
2016:5:0:0:NEIHU_E	0	0	3	16	6	0	25	4	16	17	2	18	
2016:5:0:0:NEIHU_S	0	0	3	8	0	1	11	7	23	15	3	20	
2016:5:0:0:OFFICE_E	0	0	4	1	0	0	6	1	5	6	0	5	
2016:5:0:0:SANCHONG_E	0	2	8	12	1	0	22	7	31	16	0	22	
2016:5:0:0:SANCHONG_S	0	0	3	3	0	0	6	3	18	18	1	32	
2016:5:0:0:SANXIA_A_E	0	0	4	7	0	0	14	8	22	18	5	28	
2016:5:0:0:SANXIA_B_E	2	1	7	4	1	0	18	5	30	18	1	21	
2016:5:0:0:SHILIN_S	0	0	3	3	0	0	6	2	12	1	0	12	
2016:5:0:0:SHILIN_ZL	0	0	9	12	0	0	27	15	23	36	2	23	
2016:5:0:0:SIYUAN_E	0	0	10	3	0	0	13	10	25	16	0	32	
2016:5:0:0:SONGSHAN_S	0	0	6	8	0	0	22	10	32	20	1	19	
2016:5:0:0:SONGSHAN_ZL	1	2	5	10	2	0	19	10	25	21	1	33	
2016:5:0:0:TAIDONG_1_E	2	1	7	5	2	0	19	14	23	17	4	24	
2016:5:0:0:TAIDONG_1_S	0	0	4	12	1	0	22	7	23	30	7	41	
2016:5:0:0:TAIDONG_2_S	0	0	2	7	0	0	16	5	23	20	6	16	
2016:5:0:0:TAIDONG_2_ZL	1	0	10	11	1	1	24	19	24	14	5	24	
2016:5:0:0:TAIDONG_3_E	0	1	4	6	1	0	15	10	16	18	3	21	
2016:5:0:0:TAO_1_A	0	1	10	1	1	1	10	12	29	7	4	14	
2016:5:0:0:TAO_1_B	0	0	1	8	0	0	11	15	20	3	3	11	
2016:5:0:0:TAO_2_E	0	0	4	1	0	0	6	2	12	13	1	32	
2016:5:0:0:TAO_2_S	0	0	5	14	0	0	15	8	13	14	0	12	
2016:5:0:0:TAO_3_E	0	1	0	0	1	2	2	5	7	11	0	16	
2016:5:0:0:TAO_3_E_ZL	0	1	13	12	0	0	35	10	32	28	3	31	
2016:5:0:0:TAO_4_E	0	0	0	6	0	0	16	4	16	13	0	31	
2016:5:0:0:TAO_4_S	0	0	4	2	0	0	15	3	21	14	4	34	
2016:5:0:0:TIANMU_A_E	1	0	8	6	0	0	26	5	38	22	0	20	
2016:5:0:0:TIANMU_B_E	0	5	14	7	0	0	31	13	34	18	2	38	
2016:5:0:0:TOUFEN_E	0	0	3	15	0	0	20	11	34	18	3	26	
2016:5:0:0:TOUR_S	0	0	2	1	0	0	8	5	15	19	0	68	
2016:5:0:0:TUCHENG_S	0	1	7	14	0	0	22	7	23	12	1	14	
2016:5:0:0:TUCHENG_ZL	0	0	14	7	0	0	32	11	41	28	4	44	
2016:5:0:0:WANDA_E	1	0	5	11	1	0	27	6	18	18	3	40	
2016:5:0:0:WANDA_S	0	1	5	7	0	0	13	6	17	6	1	24	
2016:5:0:0:XIANGSHAN_E	2	0	8	3	1	0	17	16	26	18	8	31	
2016:5:0:0:XINAN_S	2	3	4	10	2	0	26	9	34	19	2	54	
2016:5:0:0:XINBAN_E	1	0	1	13	1	0	15	10	28	11	0	12	
2016:5:0:0:XINDIAN_E	0	0	6	11	0	0	18	10	29	21	0	26	
2016:5:0:0:XINDIAN_S	0	0	3	3	0	0	12	3	18	15	1	29	
2016:5:0:0:XINPU_E	0	0	2	4	0	0	15	7	12	9	0	9	
2016:5:0:0:XINZHU_1_E	0	2	3	1	1	1	6	5	12	12	4	14	
2016:5:0:0:XINZHU_1_S	0	2	2	10	2	0	18	7	28	17	2	20	
2016:5:0:0:XINZHU_3_S	0	0	2	9	0	1	14	6	23	16	1	28	
2016:5:0:0:XINZHU_3_ZL	1	0	4	14	1	0	31	6	28	24	3	30	
2016:5:0:0:XIZHI_A_E	0	1	8	9	0	0	18	7	22	19	3	45	
2016:5:0:0:XIZHI_B_E	1	0	9	4	1	0	14	7	20	13	1	34	
2016:5:0:0:XIZHI_S	0	2	0	5	1	0	11	9	33	8	0	19	
2016:5:0:0:YILAN_E	0	0	6	3	0	0	11	6	15	10	0	39	
2016:5:0:0:YILAN_S	0	3	16	6	2	0	27	7	30	18	0	27	
2016:5:0:0:YONGHE_S	0	1	7	2	1	0	13	7	23	16	3	34	
2016:5:0:0:YULI_E	0	3	5	11	0	0	36	3	26	36	5	40	
2016:5:0:0:YULI_S	0	0	3	1	0	0	9	1	9	17	0	36	
2016:5:0:0:ZHONGHE_1_E	0	0	3	4	0	0	13	7	20	16	1	18	
2016:5:0:0:ZHONGHE_2_E	0	0	3	9	2	1	30	7	17	12	1	10	
2016:5:0:0:ZHONGHE_2_S	1	1	0	4	2	0	13	4	20	13	1	9	
2016:5:0:0:ZHONGLI_1_E	0	1	3	8	1	1	24	1	26	10	1	13	
2016:5:0:0:ZHONGLI_1_S	0	0	2	15	0	0	23	2	16	18	0	45	
2016:5:0:0:ZHONGLI_2_E	0	1	12	20	1	1	35	16	28	17	0	29	
2016:5:0:0:ZHUBEI_1_E	0	0	3	7	0	0	13	5	22	16	2	20	
2016:5:0:0:ZHUBEI_2_E	0	0	0	6	0	1	6	2	16	22	0	31	
2016:5:0:0:ZHUBEI_2_S	0	0	4	3	0	0	14	4	14	21	4	27	
2016:5:0:0:ZHUBEI_3_S	0	0	7	0	0	0	7	5	15	9	1	19	
2016:5:0:0:ZHUDONG_E	0	0	6	3	1	0	14	6	29	11	1	7	
2016:5:0:0:ZHUDONG_S	0	0	14	0	0	0	16	8	21	17	0	37	
2016:5:0:0:ZHUNAN_S	0	7	18	2	4	0	33	19	36	18	2	22	
2016:5:0:0:ZHUNAN_ZL	2	5	13	5	4	0	26	12	26	21	1	27	
