	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF
2014:8:0:0:CENTRAL	0	0	0	0	0	6	0	0	0	0	0	0
2014:8:0:0:EAST	0	0	0	0	0	2	0	0	0	0	0	0
2014:8:0:0:HSINCHU	0	0	0	0	0	5	0	0	0	0	0	0
2014:8:0:0:HUALIEN	0	0	0	0	0	10	0	0	0	0	0	0
2014:8:0:0:TAOYUAN	0	0	0	0	0	6	0	0	0	0	0	0
2014:8:0:0:WEST	0	0	0	0	0	7	0	0	0	0	0	0
2014:9:0:0:CENTRAL	0	0	0	0	0	3	0	0	0	0	0	0
2014:9:0:0:EAST	0	0	0	0	0	5	0	0	0	0	0	0
2014:9:0:0:HSINCHU	0	0	0	0	0	5	0	0	0	0	0	0
2014:9:0:0:HUALIEN	0	0	0	0	0	7	0	0	0	0	0	0
2014:9:0:0:TAOYUAN	0	0	0	0	0	7	0	0	0	0	0	0
2014:9:0:0:WEST	0	0	0	0	0	7	0	0	0	0	0	0
2015:10:0:0:CENTRAL	0	0	0	0	0	8	0	0	0	0	0	0
2015:10:0:0:EAST	0	0	0	0	0	6	0	0	0	0	0	0
2015:10:0:0:HSINCHU	0	0	0	0	0	3	0	0	0	0	0	0
2015:10:0:0:HUALIEN	0	0	0	0	0	5	0	0	0	0	0	0
2015:10:0:0:SOUTH	0	0	0	0	0	6	0	0	0	0	0	0
2015:10:0:0:TAOYUAN	0	0	0	0	0	5	0	0	0	0	0	0
2015:10:0:0:WEST	0	0	0	0	0	2	0	0	0	0	0	0
2015:11:0:0:CENTRAL	0	0	0	0	0	6	0	0	0	0	0	0
2015:11:0:0:EAST	0	0	0	0	0	5	0	0	0	0	0	0
2015:11:0:0:HSINCHU	0	0	0	0	0	5	0	0	0	0	0	0
2015:11:0:0:HUALIEN	0	0	0	0	0	6	0	0	0	0	0	0
2015:11:0:0:SOUTH	0	0	0	0	0	2	0	0	0	0	0	0
2015:11:0:0:TAOYUAN	0	0	0	0	0	9	0	0	0	0	0	0
2015:11:0:0:WEST	0	0	0	0	0	2	0	0	0	0	0	0
2015:12:0:0:CENTRAL	0	0	0	0	0	10	0	0	0	0	0	0
2015:12:0:0:EAST	0	0	0	0	0	4	0	0	0	0	0	0
2015:12:0:0:HSINCHU	0	0	0	0	0	5	0	0	0	0	0	0
2015:12:0:0:HUALIEN	0	0	0	0	0	7	0	0	0	0	0	0
2015:12:0:0:NORTH	0	0	0	0	0	2	0	0	0	0	0	0
2015:12:0:0:SOUTH	0	0	0	0	0	4	0	0	0	0	0	0
2015:12:0:0:TAOYUAN	0	0	0	0	0	11	0	0	0	0	0	0
2015:12:0:0:WEST	0	0	0	0	0	3	0	0	0	0	0	0
2015:1:0:0:CENTRAL	0	0	0	0	0	6	0	0	0	0	0	0
2015:1:0:0:EAST	0	0	0	0	0	1	0	0	0	0	0	0
2015:1:0:0:HSINCHU	0	0	0	0	0	5	0	0	0	0	0	0
2015:1:0:0:HUALIEN	0	0	0	0	0	4	0	0	0	0	0	0
2015:1:0:0:TAOYUAN	0	0	0	0	0	6	0	0	0	0	0	0
2015:1:0:0:WEST	0	0	0	0	0	5	0	0	0	0	0	0
2015:2:0:0:CENTRAL	0	0	0	0	0	11	0	0	0	0	0	0
2015:2:0:0:EAST	0	0	0	0	0	5	0	0	0	0	0	0
2015:2:0:0:HSINCHU	0	0	0	0	0	5	0	0	0	0	0	0
2015:2:0:0:HUALIEN	0	0	0	0	0	4	0	0	0	0	0	0
2015:2:0:0:SOUTH	0	0	0	0	0	0	0	0	0	0	0	0
2015:2:0:0:TAOYUAN	0	0	0	0	0	7	0	0	0	0	0	0
2015:2:0:0:WEST	0	0	0	0	0	11	0	0	0	0	0	0
2015:3:0:0:CENTRAL	0	0	0	0	0	7	0	0	0	0	0	0
