	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:3:0:0:SANCHONG	0	0	34	36	2	0	85	35	126	62	8	129
2016:3:0:0:SHILIN	0	2	6	25	0	0	66	36	105	93	10	219
2016:3:0:0:SHUANGHE	0	3	40	41	4	1	115	44	127	78	7	147
2016:3:0:0:SONGSHAN	0	4	35	57	1	0	105	47	124	73	5	118
2016:3:0:0:TAIDONG_1_3	3	2	26	25	4	3	66	35	84	51	1	113
2016:3:0:0:TAIDONG_2	2	2	22	21	2	2	50	45	72	27	6	66
2016:3:0:0:TAOYUAN_1_2	1	3	26	28	1	2	62	48	119	52	12	126
2016:3:0:0:TAOYUAN_3	0	0	13	39	0	0	102	32	85	106	11	180
2016:3:0:0:TOUFEN_MIAOLI	1	5	8	15	4	2	36	22	64	29	1	73
2016:3:0:0:TUCHENG	0	0	29	60	0	0	110	33	141	93	9	147
2016:3:0:0:UNKNOWN	2	2	15	41	2	0	75	29	83	63	3	108
2016:3:0:0:WANDA	2	2	12	15	2	0	39	17	56	36	2	80
2016:3:0:0:XINAN	2	15	45	47	2	2	151	54	128	104	13	219
2016:3:0:0:XINDIAN	0	2	33	17	2	1	50	30	97	49	7	96
2016:3:0:0:XINZHU	4	5	26	23	4	1	82	40	100	108	4	220
2016:3:0:0:XINZHUANG	2	3	21	12	4	1	40	21	64	31	7	63
2016:3:0:0:XIZHI	0	4	13	21	2	0	50	17	69	63	3	134
2016:3:0:0:YILAN	0	1	23	52	2	1	115	24	129	60	3	156
2016:3:0:0:YULI	0	0	12	21	0	0	33	6	26	27	0	114
2016:3:0:0:ZHONGLI	1	3	14	22	3	2	71	31	81	43	0	76
2016:3:0:0:ZHUBEI	0	4	13	11	1	1	30	26	96	55	3	102
2016:3:0:0:ZHUDONG	0	2	9	13	0	0	29	22	42	27	0	51
2016:3:0:0:ZHUNAN	0	3	28	42	3	2	83	33	117	75	4	115
2016:4:0:0:BADE	0	2	24	21	1	1	68	24	108	56	1	77
2016:4:0:0:BANQIAO	0	1	4	17	0	1	29	14	48	58	0	78
2016:4:0:0:BEITOU	0	5	22	31	3	1	72	32	129	75	8	135
2016:4:0:0:HUALIAN	0	0	7	46	1	0	75	18	70	50	0	73
2016:4:0:0:JIAN	0	6	28	46	7	1	94	42	127	86	1	149
2016:4:0:0:JILONG	0	0	13	25	0	1	40	18	87	41	8	41
2016:4:0:0:JINGXIN	1	2	19	51	2	0	95	36	135	104	6	139
2016:4:0:0:JINHUA	1	5	18	33	3	1	78	19	70	69	2	203
2016:4:0:0:SANCHONG	2	3	28	41	2	0	110	31	137	84	5	162
2016:4:0:0:SHILIN	0	8	30	47	0	0	116	54	142	88	10	177
2016:4:0:0:SHUANGHE	0	3	21	21	4	2	99	39	112	86	7	124
2016:4:0:0:SONGSHAN	0	1	20	55	2	1	98	46	129	78	5	120
2016:4:0:0:TAIDONG_1_3	1	2	27	19	3	4	63	37	95	51	2	107
2016:4:0:0:TAIDONG_2	4	0	22	22	4	5	56	31	59	25	1	50
2016:4:0:0:TAOYUAN_1_2	1	2	43	52	4	3	107	62	140	70	12	105
2016:4:0:0:TAOYUAN_3	0	2	31	37	1	0	105	43	116	110	6	140
2016:4:0:0:TOUFEN_MIAOLI	0	0	10	17	2	1	32	26	68	27	1	93
2016:4:0:0:TUCHENG	0	5	43	49	3	3	127	35	142	82	14	134
2016:4:0:0:XINAN	2	9	38	43	4	3	127	52	140	81	20	202
2016:4:0:0:XINDIAN	0	2	18	18	1	1	52	15	75	68	9	96
2016:4:0:0:XINZHU	2	4	22	31	4	1	76	37	126	97	11	168
2016:4:0:0:XINZHUANG	3	1	14	17	3	1	45	18	53	52	2	85
2016:4:0:0:XIZHI	0	3	14	21	1	2	42	27	73	40	3	75
2016:4:0:0:YILAN	1	1	39	48	1	1	105	44	121	91	3	147
2016:4:0:0:YULI	1	4	9	12	1	1	29	8	39	35	2	90
2016:4:0:0:ZHONGLI	0	3	36	38	2	2	112	33	104	57	3	103
2016:4:0:0:ZHUBEI	2	7	10	20	7	3	43	14	79	65	2	117
2016:4:0:0:ZHUDONG	0	3	24	9	1	1	39	15	48	17	3	48
2016:4:0:0:ZHUNAN	1	2	25	43	2	2	91	36	118	64	10	111
2016:5:0:0:BADE	0	2	8	8	0	0	23	13	56	52	3	46
2016:5:0:0:BANQIAO	0	0	2	11	0	0	18	14	27	15	0	15
2016:5:0:0:BEITOU	2	1	8	13	3	2	31	16	62	33	3	58
2016:5:0:0:HUALIAN	0	1	8	18	0	0	31	7	43	22	0	22
2016:5:0:0:JIAN	0	6	12	14	4	2	41	23	74	53	5	62
2016:5:0:0:JILONG	0	0	6	15	0	0	26	15	40	18	4	18
2016:5:0:0:JINGXIN	0	4	14	19	1	1	57	19	90	72	2	85
2016:5:0:0:JINHUA	2	2	8	14	0	0	43	8	39	35	0	101
2016:5:0:0:SANCHONG	2	3	18	26	0	0	51	23	70	41	1	70
2016:5:0:0:SHILIN	1	4	22	20	0	0	60	22	58	53	4	86
2016:5:0:0:SHUANGHE	1	1	7	15	3	1	45	14	56	36	5	46
2016:5:0:0:SONGSHAN	0	2	10	30	1	1	56	24	73	52	6	70
2016:5:0:0:TAIDONG_1_3	1	1	11	14	1	0	37	25	39	35	10	52
2016:5:0:0:TAIDONG_2	1	0	9	12	1	0	29	17	29	20	6	27
2016:5:0:0:TAOYUAN_1_2	0	1	21	18	1	2	34	31	69	28	6	47
2016:5:0:0:TAOYUAN_3	0	1	12	14	1	2	44	13	56	47	3	73
2016:5:0:0:TOUFEN_MIAOLI	0	0	4	15	0	1	22	15	38	16	3	26
2016:5:0:0:TUCHENG	1	1	23	24	0	0	67	16	72	49	6	75
2016:5:0:0:XINAN	0	4	26	32	0	0	79	22	67	38	5	86
2016:5:0:0:XINDIAN	0	0	12	10	0	0	35	9	44	40	4	65
2016:5:0:0:XINZHU	1	4	7	21	4	0	47	14	60	48	7	66
2016:5:0:0:XINZHUANG	0	0	12	3	0	0	22	12	34	26	0	48
2016:5:0:0:XIZHI	0	1	11	11	0	0	26	13	50	27	4	60
2016:5:0:0:YILAN	0	4	23	18	1	0	46	24	58	42	1	64
2016:5:0:0:YULI	0	2	5	8	0	0	29	3	22	37	4	53
2016:5:0:0:ZHONGLI	0	2	12	29	2	2	57	15	49	35	0	65
2016:5:0:0:ZHUBEI	0	0	9	9	0	1	25	14	46	37	5	48
2016:5:0:0:ZHUDONG	0	0	13	3	0	0	19	8	33	22	0	34
2016:5:0:0:ZHUNAN	2	3	30	7	1	0	43	36	59	47	6	47
