	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:1:4:7:TOUFEN	0	0	0	0	0	0	0	0	0	0	0	0
2016:1:4:7:TUCHENG	0	2	3	5	2	0	11	7	17	16	0	44
2016:1:4:7:WANDA	0	1	1	6	1	0	12	1	19	7	0	32
2016:1:4:7:XIANGSHAN	0	0	2	4	4	0	7	1	15	14	0	25
2016:1:4:7:XINAN	0	0	7	8	0	0	23	5	25	17	0	45
2016:1:4:7:XINBAN	0	0	3	4	0	0	11	3	19	8	0	29
2016:1:4:7:XINDIAN	0	0	0	7	1	0	7	2	18	8	0	14
2016:1:4:7:XINPU	0	1	1	4	2	1	7	2	19	4	0	16
2016:1:4:7:XINZHU_1	1	0	5	6	1	0	16	2	16	12	0	17
2016:1:4:7:XINZHU_3	1	1	3	2	0	0	12	4	14	5	0	25
2016:1:4:7:XIZHI	0	2	2	6	6	0	12	7	28	17	0	36
2016:1:4:7:YILAN	0	0	2	12	7	0	24	5	24	21	0	55
2016:1:4:7:YONGHE	0	1	5	1	0	1	16	3	10	11	0	28
2016:1:4:7:YULI	0	0	4	12	0	0	16	3	10	11	0	27
2016:1:4:7:ZHONGHE_1	0	0	0	2	0	0	7	2	7	5	0	7
2016:1:4:7:ZHONGHE_2	0	1	3	8	0	0	12	3	18	8	0	18
2016:1:4:7:ZHONGLI_1	0	0	1	2	0	0	4	4	8	4	0	5
2016:1:4:7:ZHONGLI_2	0	0	0	3	0	0	4	0	6	3	0	11
2016:1:4:7:ZHUBEI_1	0	1	0	1	0	2	2	0	9	11	0	10
2016:1:4:7:ZHUBEI_2	1	0	1	0	0	0	2	2	6	0	0	11
2016:1:4:7:ZHUBEI_3	0	1	0	1	0	2	2	0	9	11	0	10
2016:1:4:7:ZHUDONG	1	0	2	6	3	1	9	2	12	3	0	9
2016:1:4:7:ZHUNAN	1	0	1	5	1	0	11	5	14	9	0	24
2016:1:5:7:ANKANG	0	0	3	3	0	0	6	3	13	5	0	7
2016:1:5:7:BADE	1	1	3	7	1	1	18	2	21	14	0	19
2016:1:5:7:BEITOU	0	1	0	5	0	0	11	2	15	10	0	26
2016:1:5:7:DANFENG	0	1	3	3	0	1	7	3	2	0	0	3
2016:1:5:7:GUISHAN	0	0	4	0	0	0	5	0	6	1	0	7
2016:1:5:7:HUALIAN_1	0	0	4	4	0	0	16	3	15	10	0	22
2016:1:5:7:HUALIAN_2	0	0	1	1	0	0	2	4	11	4	0	7
2016:1:5:7:HUALIAN_3	0	0	6	7	0	0	21	4	15	15	0	38
2016:1:5:7:JILONG	0	1	2	9	0	0	12	4	20	7	0	4
2016:1:5:7:JINGXIN	0	0	5	3	0	0	11	8	11	15	0	22
2016:1:5:7:JINHUA	0	0	6	9	0	1	18	2	20	10	0	52
2016:1:5:7:LONGTAN	1	0	0	1	0	0	3	4	6	3	0	13
2016:1:5:7:LUZHOU	0	0	2	2	0	1	7	1	9	5	0	16
2016:1:5:7:MIAOLI	0	0	2	4	0	0	8	6	12	7	0	16
2016:1:5:7:MUZHA	0	0	4	6	0	0	15	5	11	22	0	44
2016:1:5:7:NEIHU	0	0	1	3	0	1	4	2	13	5	0	16
2016:1:5:7:SANCHONG	0	0	2	0	0	1	4	4	14	9	0	19
2016:1:5:7:SANXIA	0	0	0	10	0	0	12	4	13	16	0	32
2016:1:5:7:SHILIN	0	0	0	3	0	0	3	1	9	6	0	21
2016:1:5:7:SIYUAN	0	0	1	1	0	0	5	1	4	8	0	17
2016:1:5:7:SONGSHAN	0	0	9	6	1	0	16	2	25	9	0	15
2016:1:5:7:TAIDONG_1	0	0	2	5	0	0	12	2	11	8	0	25
2016:1:5:7:TAIDONG_2	1	0	7	6	1	0	13	10	22	7	0	11
2016:1:5:7:TAIDONG_3	0	2	4	2	2	0	9	3	6	3	0	14
2016:1:5:7:TAOYUAN_1	0	0	1	0	0	0	2	3	6	1	0	21
2016:1:5:7:TAOYUAN_2	1	0	3	3	1	0	8	2	6	6	0	17
2016:1:5:7:TAOYUAN_3	0	0	1	7	0	0	11	2	12	9	0	13
2016:1:5:7:TAOYUAN_4	0	0	4	6	0	1	12	0	14	10	0	31
2016:1:5:7:TIANMU	0	0	0	1	0	0	1	0	2	1	0	10
2016:1:5:7:TOUFEN	1	0	1	3	1	1	5	3	8	1	0	6
2016:1:5:7:TUCHENG	0	1	3	6	0	1	12	2	11	16	0	26
2016:1:5:7:WANDA	0	0	2	4	0	1	11	0	12	8	0	57
2016:1:5:7:XIANGSHAN	0	0	1	4	0	0	5	3	12	10	0	16
2016:1:5:7:XINAN	0	0	8	7	0	0	17	5	11	13	0	35
2016:1:5:7:XINBAN	0	1	2	5	0	0	8	1	16	2	0	33
2016:1:5:7:XINDIAN	0	0	1	6	0	0	7	4	16	14	0	25
2016:1:5:7:XINPU	0	0	4	6	0	1	14	6	16	8	0	26
2016:1:5:7:XINZHU_1	0	0	5	4	0	1	13	6	16	9	0	24
2016:1:5:7:XINZHU_3	0	1	5	6	0	0	16	6	19	12	0	37
2016:1:5:7:XIZHI	0	1	1	5	0	2	8	5	24	16	0	42
2016:1:5:7:YILAN	0	1	1	9	0	0	20	8	28	22	0	38
2016:1:5:7:YONGHE	0	0	6	3	0	0	15	4	11	6	0	20
2016:1:5:7:YULI	0	0	4	5	0	0	9	1	7	6	0	36
2016:1:5:7:ZHONGHE_1	0	0	1	1	0	0	5	1	8	6	0	3
2016:1:5:7:ZHONGHE_2	0	0	3	7	0	1	13	4	15	9	0	24
2016:1:5:7:ZHONGLI_1	0	0	3	4	0	0	18	5	9	8	0	18
2016:1:5:7:ZHONGLI_2	0	0	0	2	0	0	4	0	4	1	0	8
2016:1:5:7:ZHUBEI_1	0	1	0	2	0	0	3	0	6	2	0	9
2016:1:5:7:ZHUBEI_2	0	0	3	2	2	1	5	3	8	2	0	8
2016:1:5:7:ZHUBEI_3	0	1	0	2	0	0	3	0	6	2	0	9
2016:1:5:7:ZHUDONG	1	0	2	6	0	0	9	3	12	3	0	6
2016:1:5:7:ZHUNAN	0	0	1	6	0	1	10	4	10	6	0	25
2016:2:1:7:ANKANG	0	0	3	4	0	0	7	2	10	4	0	11
