	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL	N_REPORTS
2016:3:3:7:TAOYUAN	0	1	17	30	0	1	76	37	102	75	7	127	
2016:3:3:7:UNKNOWN	2	2	15	41	2	0	75	29	83	63	3	108	
2016:3:3:7:WEST	1	1	21	19	0	0	54	26	68	57	5	83	
2016:3:4:7:CENTRAL	0	3	22	27	0	1	69	28	80	65	4	151	
2016:3:4:7:EAST	1	3	22	52	4	1	97	27	110	56	6	119	
2016:3:4:7:HSINCHU	2	6	21	22	4	3	69	44	101	94	5	140	
2016:3:4:7:HUALIEN	2	2	25	31	4	2	72	35	99	66	5	139	
2016:3:4:7:NORTH	0	3	10	21	1	1	52	19	65	43	5	106	
2016:3:4:7:SOUTH	0	1	19	30	2	3	62	28	97	36	6	93	
2016:3:4:7:TAOYUAN	1	1	19	39	2	0	83	47	109	74	7	124	
2016:3:4:7:WEST	3	1	17	23	4	0	54	23	63	43	7	58	
2016:4:1:7:CENTRAL	0	5	23	22	0	0	55	22	87	52	9	128	
2016:4:1:7:EAST	0	1	16	42	0	3	73	25	106	57	8	93	
2016:4:1:7:HSINCHU	1	6	25	32	2	2	84	33	127	66	7	127	
2016:4:1:7:HUALIEN	0	4	23	40	0	4	77	36	102	60	1	119	
2016:4:1:7:NORTH	0	2	7	23	0	0	45	17	70	35	10	92	
2016:4:1:7:SOUTH	0	1	15	30	1	1	61	21	79	65	4	90	
2016:4:1:7:TAOYUAN	0	2	30	35	1	2	88	56	128	92	6	124	
2016:4:1:7:WEST	0	3	16	21	0	2	51	15	62	53	5	84	
2016:4:2:7:CENTRAL	2	6	16	29	6	0	78	25	78	56	4	142	
2016:4:2:7:EAST	1	2	20	38	4	0	71	35	96	51	2	81	
2016:4:2:7:HSINCHU	2	4	24	30	5	0	81	30	95	61	4	149	
2016:4:2:7:HUALIEN	6	1	24	34	8	0	80	40	88	69	2	110	
2016:4:2:7:NORTH	0	4	14	14	1	0	41	27	63	37	2	75	
2016:4:2:7:SOUTH	0	2	13	22	2	1	61	26	78	54	7	73	
2016:4:2:7:TAOYUAN	0	1	43	38	2	0	111	50	114	79	3	99	
2016:4:2:7:WEST	2	2	13	19	3	0	45	20	54	44	2	55	
2016:4:3:7:CENTRAL	1	3	20	33	2	4	92	29	93	58	12	136	
2016:4:3:7:EAST	0	0	22	32	0	2	60	29	104	68	2	97	
2016:4:3:7:HSINCHU	1	3	20	31	3	4	53	32	113	71	14	123	
2016:4:3:7:HUALIEN	0	3	25	36	4	7	85	38	109	57	2	113	
2016:4:3:7:NORTH	0	3	14	19	1	0	46	18	71	38	2	81	
2016:4:3:7:SOUTH	0	2	15	20	0	1	61	22	78	73	6	91	
2016:4:3:7:TAOYUAN	0	2	32	42	2	2	103	34	125	64	8	92	
2016:4:3:7:WEST	1	2	17	20	3	1	54	13	70	49	3	90	
2016:4:4:7:CENTRAL	2	3	25	33	1	0	90	26	89	68	2	161	
2016:4:4:7:EAST	0	2	28	37	0	0	81	46	104	74	7	112	
2016:4:4:7:HSINCHU	1	3	22	27	6	2	63	33	104	72	2	138	
2016:4:4:7:HUALIEN	0	4	21	35	4	0	75	22	91	61	1	127	
2016:4:4:7:NORTH	0	4	17	22	1	1	56	24	67	53	4	64	
2016:4:4:7:SOUTH	1	2	15	18	4	0	63	21	87	66	5	105	
2016:4:4:7:TAOYUAN	1	4	29	33	3	2	90	22	101	58	5	110	
2016:4:4:7:WEST	0	0	15	23	0	2	51	19	57	46	6	68	
2016:5:1:7:CENTRAL	2	3	28	38	0	0	88	21	89	65	1	130	
2016:5:1:7:EAST	0	3	23	40	1	0	78	34	115	73	8	111	
2016:5:1:7:HSINCHU	1	3	32	28	2	2	82	42	121	90	12	117	
2016:5:1:7:HUALIEN	0	4	25	31	2	1	83	46	101	72	7	105	
2016:5:1:7:NORTH	2	2	14	20	2	1	48	17	62	35	4	71	
2016:5:1:7:SOUTH	1	2	16	20	2	1	71	23	91	77	6	105	
2016:5:1:7:TAOYUAN	0	5	28	33	4	2	88	45	123	95	4	121	
2016:5:1:7:WEST	0	1	18	23	0	0	58	20	65	41	2	68	
2016:5:2:7:CENTRAL	2	6	24	34	0	0	85	32	87	49	5	127	
2016:5:2:7:EAST	0	4	27	34	1	1	76	42	106	66	7	101	
2016:5:2:7:HSINCHU	2	6	29	27	3	0	78	49	115	80	9	104	
2016:5:2:7:HUALIEN	2	6	20	35	4	1	84	29	106	95	18	111	
2016:5:2:7:NORTH	1	3	16	13	1	1	43	21	58	51	3	73	
2016:5:2:7:SOUTH	0	3	17	24	2	1	66	19	99	71	5	91	
2016:5:2:7:TAOYUAN	0	1	25	36	0	4	75	27	107	67	8	110	
2016:5:2:7:WEST	1	0	19	15	0	0	49	22	68	49	4	70	
2016:5:3:7:CENTRAL	7	2	23	33	9	0	89	26	85	62	3	123	12
2016:5:3:7:EAST	3	4	25	38	9	0	77	36	123	69	4	111	13
2016:5:3:7:HSINCHU	2	7	29	29	9	2	86	30	115	74	13	127	15
2016:5:3:7:HUALIEN	1	8	16	34	6	1	80	23	111	104	14	145	13
2016:5:3:7:NORTH	1	3	18	12	2	1	45	25	79	51	1	52	8
2016:5:3:7:SOUTH	0	4	18	20	4	1	62	33	106	65	1	84	11
2016:5:3:7:TAOYUAN	1	2	21	34	1	0	78	29	101	61	8	116	16
