	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL	N_REPORTS
2016:3:1:7:EAST	0	2	21	27	0	0	65	31	87	51	3	114	
2016:3:1:7:HUALIAN	1	1	8	12	1	0	40	8	42	29	1	57	
2016:3:1:7:NORTH	0	3	4	7	0	0	20	13	59	33	5	61	
2016:3:1:7:OFFICE	0	2	8	11	0	0	27	6	11	8	0	17	
2016:3:1:7:SOUTH	0	1	27	21	0	3	68	35	91	64	5	90	
2016:3:1:7:TAIDONG	0	1	13	18	0	2	37	23	48	25	4	78	
2016:3:1:7:TAOYUAN	1	3	13	34	3	2	83	35	97	64	6	99	
2016:3:1:7:WEST	1	4	14	29	1	0	57	15	83	41	6	79	
2016:3:1:7:XINZHU	1	1	12	10	1	0	31	20	67	45	1	97	
2016:3:1:7:ZHUNAN	0	2	9	18	1	1	35	16	49	33	0	56	
2016:3:2:7:CENTRAL	1	6	28	29	4	1	78	21	79	71	4	180	
2016:3:2:7:EAST	0	2	22	42	1	0	80	30	106	43	3	96	
2016:3:2:7:HUALIAN	0	0	12	16	0	1	42	9	31	28	2	44	
2016:3:2:7:NORTH	1	2	6	13	1	0	31	18	58	43	4	86	
2016:3:2:7:SOUTH	0	2	32	22	2	0	63	31	82	56	5	92	
2016:3:2:7:TAIDONG	1	1	15	17	1	0	36	18	39	30	0	82	
2016:3:2:7:TAOYUAN	0	3	19	26	1	3	78	26	84	47	10	109	
2016:3:2:7:WEST	0	0	17	22	1	1	43	16	58	43	5	70	
2016:3:2:7:XINZHU	0	2	13	11	0	1	30	14	54	30	0	73	
2016:3:2:7:ZHUNAN	0	2	10	13	0	1	33	10	39	16	4	47	
2016:3:3:7:CENTRAL	2	3	17	28	1	2	75	23	85	64	7	144	
2016:3:3:7:EAST	1	2	23	45	1	0	85	23	97	71	3	117	
2016:3:3:7:HUALIAN	0	0	12	14	0	0	38	9	41	47	0	79	
2016:3:3:7:NORTH	0	4	6	15	1	0	43	22	58	48	3	106	
2016:3:3:7:SOUTH	1	3	15	30	4	0	61	21	79	59	3	112	
2016:3:3:7:TAIDONG	2	1	14	17	2	1	37	22	45	25	0	66	
2016:3:3:7:TAOYUAN	0	1	17	30	0	1	76	37	102	75	7	127	
2016:3:3:7:UNKNOWN	2	2	15	41	2	0	75	29	83	63	3	108	
2016:3:3:7:WEST	1	1	21	19	0	0	54	26	68	57	5	83	
2016:3:3:7:XINZHU	1	4	10	16	2	0	35	25	61	53	2	98	
2016:3:3:7:ZHUNAN	1	2	9	14	4	0	27	14	48	23	0	50	
2016:3:4:7:CENTRAL	0	3	22	27	0	1	69	28	80	65	4	151	
2016:3:4:7:EAST	1	3	22	52	4	1	97	27	110	56	6	119	
2016:3:4:7:HUALIAN	0	1	7	16	1	0	33	12	49	41	2	72	
2016:3:4:7:NORTH	0	3	10	21	1	1	52	19	65	43	5	106	
2016:3:4:7:SOUTH	0	1	19	30	2	3	62	28	97	36	6	93	
2016:3:4:7:TAIDONG	2	1	18	15	3	2	39	23	50	25	3	67	
2016:3:4:7:TAOYUAN	1	1	19	39	2	0	83	47	109	74	7	124	
2016:3:4:7:WEST	3	1	17	23	4	0	54	23	63	43	7	58	
2016:3:4:7:XINZHU	2	4	13	10	2	1	45	29	56	62	4	105	
2016:3:4:7:ZHUNAN	0	2	8	12	2	2	24	15	45	32	1	35	
2016:4:1:7:CENTRAL	0	5	23	22	0	0	55	22	87	52	9	128	
2016:4:1:7:EAST	0	1	16	42	0	3	73	25	106	57	8	93	
2016:4:1:7:HUALIAN	0	2	4	29	0	1	43	16	51	37	0	60	
2016:4:1:7:NORTH	0	2	7	23	0	0	45	17	70	35	10	92	
2016:4:1:7:SOUTH	0	1	15	30	1	1	61	21	79	65	4	90	
2016:4:1:7:TAIDONG	0	2	19	11	0	3	34	20	51	23	1	59	
2016:4:1:7:TAOYUAN	0	2	30	35	1	2	88	56	128	92	6	124	
2016:4:1:7:WEST	0	3	16	21	0	2	51	15	62	53	5	84	
2016:4:1:7:XINZHU	1	6	13	18	2	1	52	17	75	45	3	84	
2016:4:1:7:ZHUNAN	0	0	12	14	0	1	32	16	52	21	4	43	
2016:4:2:7:CENTRAL	2	6	16	29	6	0	78	25	78	56	4	142	
2016:4:2:7:EAST	1	2	20	38	4	0	71	35	96	51	2	81	
2016:4:2:7:HUALIAN	0	1	11	21	1	0	41	19	45	38	0	49	
2016:4:2:7:NORTH	0	4	14	14	1	0	41	27	63	37	2	75	
2016:4:2:7:SOUTH	0	2	13	22	2	1	61	26	78	54	7	73	
2016:4:2:7:TAIDONG	6	0	13	13	7	0	39	21	43	31	2	61	
2016:4:2:7:TAOYUAN	0	1	43	38	2	0	111	50	114	79	3	99	
2016:4:2:7:WEST	2	2	13	19	3	0	45	20	54	44	2	55	
2016:4:2:7:XINZHU	2	3	15	19	4	0	48	11	59	39	4	91	
2016:4:2:7:ZHUNAN	0	1	9	11	1	0	33	19	36	22	0	58	
2016:4:3:7:CENTRAL	1	3	20	33	2	4	92	29	93	58	12	136	
2016:4:3:7:EAST	0	0	22	32	0	2	60	29	104	68	2	97	
2016:4:3:7:HUALIAN	0	1	10	20	3	0	45	14	52	33	1	62	
2016:4:3:7:NORTH	0	3	14	19	1	0	46	18	71	38	2	81	
2016:4:3:7:SOUTH	0	2	15	20	0	1	61	22	78	73	6	91	
2016:4:3:7:TAIDONG	0	2	15	16	1	7	40	24	57	24	1	51	
2016:4:3:7:TAOYUAN	0	2	32	42	2	2	103	34	125	64	8	92	
2016:4:3:7:WEST	1	2	17	20	3	1	54	13	70	49	3	90	
2016:4:3:7:XINZHU	0	3	13	14	1	3	24	18	62	44	8	62	
2016:4:3:7:ZHUNAN	1	0	7	17	2	1	29	14	51	27	6	61	
2016:4:4:7:CENTRAL	2	3	25	33	1	0	90	26	89	68	2	161	
2016:4:4:7:EAST	0	2	28	37	0	0	81	46	104	74	7	112	
2016:4:4:7:HUALIAN	0	2	10	22	4	0	40	11	49	28	0	51	
2016:4:4:7:NORTH	0	4	17	22	1	1	56	24	67	53	4	64	
2016:4:4:7:SOUTH	1	2	15	18	4	0	63	21	87	66	5	105	
2016:4:4:7:TAIDONG	0	2	11	13	0	0	35	11	42	33	1	76	
2016:4:4:7:TAOYUAN	1	4	29	33	3	2	90	22	101	58	5	110	
2016:4:4:7:WEST	0	0	15	23	0	2	51	19	57	46	6	68	
2016:4:4:7:XINZHU	1	2	15	9	5	1	34	20	57	51	1	96	
2016:4:4:7:ZHUNAN	0	1	7	18	1	1	29	13	47	21	1	42	
2016:5:1:7:CENTRAL	2	3	28	38	0	0	88	21	89	65	1	130	
2016:5:1:7:EAST	0	3	23	40	1	0	78	34	115	73	8	111	
2016:5:1:7:HUALIAN	0	2	11	13	1	1	31	19	54	21	4	33	
2016:5:1:7:NORTH	2	2	14	20	2	1	48	17	62	35	4	71	
2016:5:1:7:SOUTH	1	2	16	20	2	1	71	23	91	77	6	105	
2016:5:1:7:TAIDONG	0	2	14	18	1	0	52	27	47	51	3	72	
2016:5:1:7:TAOYUAN	0	5	28	33	4	2	88	45	123	95	4	121	
