	@CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV	N_REPORTS
2016:3:2:3:TOUFEN	ZHONGJI	10	7	1	0	1
2016:3:2:3:TUCHENG	高級班	8	6	1	1	1
2016:3:2:3:XINBAN	intermediate	21	17	3	2	2
2016:3:2:3:XINDIAN	children	20	19	6	0	2
2016:3:2:3:XINZHUANG	Beggin	23	23	5	2	2
2016:3:2:3:XIZHI	INTERMEDIATE	15	10	1	0	3
2016:3:2:3:YILAN	everyone	16	11	4	0	3
2016:3:2:3:YULI	CHILDREN	12	11	2	0	2
2016:3:2:3:ZHUDONG	beginner	17	11	0	0	1
2016:3:2:3:ZHUNAN	CHUJI	18	9	2	0	2
2016:3:3:3:ANKANG	intermediate	19	11	3	0	1
2016:3:3:3:BADE	高	32	18	5	0	3
2016:3:3:3:BEITOU	CHILD	12	10	3	2	2
2016:3:3:3:HUALIAN	gaoji	16	12	4	0	3
2016:3:3:3:JILONG	Beginner	31	24	0	0	2
2016:3:3:3:LONGTAN	beginner	16	11	1	2	1
2016:3:3:3:MIAOLI	BEGINNER	6	5	0	0	1
2016:3:3:3:MUZHA	kids	5	2	1	1	1
2016:3:3:3:NEIHU	int	11	8	2	0	1
2016:3:3:3:SANCHONG	高級	25	19	3	1	3
2016:3:3:3:SHILIN	kids	12	4	3	0	2
2016:3:3:3:SHUANGHE	CHILDREN	34	31	3	0	4
2016:3:3:3:SONGSHAN	beginner	29	22	2	2	2
2016:3:3:3:TAIDONG	children	29	27	2	0	3
2016:3:3:3:TAOYUAN_1_2	begin	50	34	6	1	4
2016:3:3:3:TAOYUAN_3	高級	43	34	10	1	4
2016:3:3:3:TOUFEN	Zhongji	7	5	0	0	1
2016:3:3:3:TUCHENG	childrens	28	19	6	4	2
2016:3:3:3:WANDA	intermediate	12	9	5	1	1
2016:3:3:3:XINBAN	INTERMEDIATE	31	25	10	0	2
2016:3:3:3:XINDIAN	CHUJIBAN	28	20	7	3	3
2016:3:3:3:XINZHU	中級班	35	30	3	3	4
2016:3:3:3:XINZHUANG	Begin	27	24	4	3	2
2016:3:3:3:XIZHI	INTERMEDIATE	15	7	2	0	3
2016:3:3:3:YILAN	beginning	18	17	3	0	3
2016:3:3:3:YULI	Beginner	8	5	1	0	2
2016:3:3:3:ZHONGLI	Children	22	15	3	0	2
2016:3:3:3:ZHUBEI	初級	16	12	4	1	2
2016:3:3:3:ZHUDONG	adv	13	13	1	0	2
2016:3:3:3:ZHUNAN	gaojiban	13	10	3	2	2
2016:3:4:3:ANKANG	advanced	18	11	2	0	1
2016:3:4:3:BADE	高	31	22	9	0	3
2016:3:4:3:BEITOU	CHILD	10	7	4	3	2
2016:3:4:3:DANSHUI	advanced	8	8	2	0	1
2016:3:4:3:HUALIAN	gaoji	27	20	2	0	3
2016:3:4:3:JILONG	intermediate	24	19	0	0	2
2016:3:4:3:LONGTAN	advanced	10	6	0	0	1
2016:3:4:3:MIAOLI	intermediate	0	0	0	0	1
2016:3:4:3:MUZHA	ADVANCED	5	4	1	0	2
2016:3:4:3:NEIHU	adv	19	17	5	0	2
2016:3:4:3:SANCHONG	高級	25	12	8	5	4
2016:3:4:3:SHILIN	kids	20	17	3	0	3
2016:3:4:3:SHUANGHE	child	43	40	6	1	4
2016:3:4:3:SONGSHAN	BEGINNER	22	16	1	1	2
2016:3:4:3:TAIDONG	BEGINNER	40	32	3	2	4
2016:3:4:3:TAOYUAN_1_2	BEGin	44	29	6	4	4
2016:3:4:3:TAOYUAN_3	gaoji	40	26	8	1	4
2016:3:4:3:TOUFEN	Zhongji	4	2	0	0	1
2016:3:4:3:TUCHENG	兒同	21	16	2	1	2
2016:3:4:3:WANDA	ADVANCE	26	22	4	1	2
2016:3:4:3:XINBAN	INTERMEDIATE	28	22	8	2	2
2016:3:4:3:XINDIAN	INTERMEDIATE	23	10	5	0	2
2016:3:4:3:XINZHU	中級班跟初級班	25	25	2	2	3
2016:3:4:3:XINZHUANG	Begin	24	23	8	0	2
2016:3:4:3:XIZHI	INTERMEDIATE	13	9	4	0	3
2016:3:4:3:YILAN	beginning	19	16	6	0	3
2016:3:4:3:YULI	adv	2	2	1	0	2
2016:3:4:3:ZHONGLI	beginner	17	14	4	1	3
2016:3:4:3:ZHUBEI	初級	15	11	0	0	2
2016:3:4:3:ZHUDONG	Everyone	8	6	1	0	1
2016:3:4:3:ZHUNAN	gaojiban	9	6	1	0	3
2016:3:5:3:ANKANG	intermediate	19	9	3	0	1
2016:3:5:3:BADE	中	43	28	8	0	3
2016:3:5:3:BEITOU	CHILD	21	16	7	4	2
2016:3:5:3:DANSHUI	beginner	7	4	0	0	2
2016:3:5:3:HUALIAN	gaoji	35	25	6	2	4
2016:3:5:3:JILONG	beginners	26	16	1	3	2
2016:3:5:3:LONGTAN	beginner	10	6	1	0	1
2016:3:5:3:MIAOLI	children	9	6	0	0	1
2016:3:5:3:MUZHA	BEGINNER	12	17	11	0	2
2016:3:5:3:NEIHU	int	29	25	4	0	2
2016:3:5:3:SANCHONG	高級	34	28	2	1	4
2016:3:5:3:SANXIA	advanced	20	18	6	0	2
2016:3:5:3:SHILIN	kids	39	31	14	1	4
2016:3:5:3:SHUANGHE	child	58	53	11	1	4
2016:3:5:3:SONGSHAN	beginner	24	16	5	1	2
2016:3:5:3:TAIDONG	begginer	34	26	7	0	4
2016:3:5:3:TAOYUAN_1_2	Advanced	51	34	1	2	4
2016:3:5:3:TAOYUAN_3	gaoji	40	29	4	3	4
2016:3:5:3:TOUFEN	Zhongji	0	5	0	1	1
2016:3:5:3:TUCHENG	兒童	12	8	1	0	2
2016:3:5:3:WANDA	thelittlekids	34	28	6	1	3
2016:3:5:3:XINBAN	INTERMEDIATE	37	21	16	2	2
2016:3:5:3:XINDIAN	CHUJI	50	35	18	3	4
2016:3:5:3:XINZHU	中級班	60	48	18	1	3
2016:3:5:3:XINZHUANG	Begin	30	29	6	2	2
2016:3:5:3:XIZHI	INTERMEDIATE	18	14	10	0	3
2016:3:5:3:YILAN	beginning	22	18	6	3	3
2016:3:5:3:YULI	CHILDREN	6	6	2	1	2
2016:3:5:3:ZHONGLI	beginner	36	26	12	2	3
2016:3:5:3:ZHUBEI	初級	24	12	6	2	2
2016:3:5:3:ZHUDONG	adv	13	11	3	0	2
2016:3:5:3:ZHUNAN	gaojiban	16	7	3	0	3
2016:4:1:3:ANKANG	intermediate	23	18	8	1	1
2016:4:1:3:BADE	中	44	33	6	2	3
2016:4:1:3:BEITOU	BEGINNER	15	13	5	1	2
2016:4:1:3:DANSHUI	 Intermediate	7	4	1	0	2
2016:4:1:3:HUALIAN	gaoji	34	23	6	1	4
2016:4:1:3:JILONG	Beginner	22	15	2	6	2
2016:4:1:3:LONGTAN	beginner	20	16	4	1	1
2016:4:1:3:MIAOLI	intermediate	6	5	0	0	1
2016:4:1:3:MUZHA	BEGINNER	22	18	6	0	2
2016:4:1:3:NEIHU	中	24	21	3	2	2
2016:4:1:3:SANCHONG	高級	34	25	9	1	4
2016:4:1:3:SANXIA	advanced	20	18	1	1	2
2016:4:1:3:SHILIN	kids	36	31	11	0	4
2016:4:1:3:SHUANGHE	CHILD	51	49	7	1	4
2016:4:1:3:SONGSHAN	INTERMEDIATE	34	30	7	3	2
2016:4:1:3:TAIDONG	BEGINNER	38	25	6	2	4
2016:4:1:3:TAOYUAN_1_2	advanced	61	38	7	1	4
2016:4:1:3:TAOYUAN_3	gao ji	57	42	9	3	4
2016:4:1:3:TOUFEN	 ADVANCED	4	3	0	0	1
2016:4:1:3:TUCHENG	兒童	27	20	2	1	2
2016:4:1:3:WANDA	Kids	37	29	5	0	3
2016:4:1:3:XINBAN	INTERMEDIATE 	38	31	14	5	2
2016:4:1:3:XINDIAN	beginner	30	24	5	0	3
2016:4:1:3:XINZHU	中級班	32	25	6	1	3
2016:4:1:3:XINZHUANG	Begin	31	31	4	1	2
2016:4:1:3:XIZHI	INTERMEDIATE	17	15	4	1	3
2016:4:1:3:YILAN	 beginning	23	19	2	0	3
2016:4:1:3:YULI	ADVANCED	4	3	0	0	2
2016:4:1:3:ZHONGLI	beginner	34	29	5	1	3
2016:4:1:3:ZHUBEI	初級	24	17	9	0	2
2016:4:1:3:ZHUDONG	adv	19	17	3	0	2
2016:4:1:3:ZHUNAN	gao ji ban 	24	10	4	0	3
2016:4:2:3:ANKANG	intermediate	12	4	0	0	1
2016:4:2:3:BADE	中	31	19	7	2	3
2016:4:2:3:BEITOU	CHILD	13	11	4	0	2
2016:4:2:3:DANSHUI	 intermediate	8	7	4	1	2
2016:4:2:3:HUALIAN	Child	19	13	2	1	3
2016:4:2:3:JILONG	beginners	22	16	1	6	2
2016:4:2:3:LONGTAN	advanced	15	12	5	1	1
2016:4:2:3:MIAOLI	children	11	8	2	0	1
2016:4:2:3:MUZHA	BEGINNER	14	12	3	3	2
2016:4:2:3:NEIHU	advanced	8	7	0	0	1
2016:4:2:3:SANCHONG	高級	40	37	16	4	4
2016:4:2:3:SANXIA	advanced	12	11	1	1	2
2016:4:2:3:SHILIN	0	25	20	3	1	4
2016:4:2:3:SHUANGHE	CHILD	38	35	4	0	4
2016:4:2:3:SONGSHAN	INTERMEDIATE	32	24	4	1	2
2016:4:2:3:TAIDONG	BEGINNER	31	25	2	0	4
2016:4:2:3:TAOYUAN_1_2	advanced	44	16	8	1	4
2016:4:2:3:TAOYUAN_3	gaoji	33	31	9	0	4
2016:4:2:3:TOUFEN	 ADVANCED	4	2	0	0	1
2016:4:2:3:TUCHENG	兒童	23	19	2	0	2
2016:4:2:3:WANDA	kids	20	18	0	0	3
2016:4:2:3:XINBAN	INTERMEDIATE 	24	11	9	0	2
2016:4:2:3:XINDIAN	beginners	28	20	3	3	3
2016:4:2:3:XINZHU	中級班	27	19	0	0	4
2016:4:2:3:XINZHUANG	Begin	23	22	5	2	2
2016:4:2:3:XIZHI	INTERMEDIATE	18	17	5	0	3
2016:4:2:3:YILAN	 beginning	31	26	2	6	3
2016:4:2:3:YULI	CHILDREN	8	6	2	1	2
2016:4:2:3:ZHONGLI	beginner	16	14	2	0	3
2016:4:2:3:ZHUBEI	初級	14	12	4	0	2
2016:4:2:3:ZHUDONG	adv	19	12	0	0	2
2016:4:2:3:ZHUNAN	gao ji ban 	9	5	1	0	3
2016:4:3:3:ANKANG	intermediate	18	13	4	0	1
2016:4:3:3:BADE	 party	 50	 47	 3	 1	1
2016:4:3:3:BEITOU	BEGINING	18	17	4	3	2
2016:4:3:3:DANSHUI	 Intermediate	6	5	4	0	1
2016:4:3:3:HUALIAN	gaoji	30	22	7	1	3
2016:4:3:3:LONGTAN	advanced	13	3	1	0	1
2016:4:3:3:MIAOLI	CHILDREN	14	12	1	0	1
2016:4:3:3:MUZHA	 intermediate	5	5	2	1	1
2016:4:3:3:NEIHU	 beginner	4	4	0	0	1
2016:4:3:3:SANCHONG	 Party	50	44	2	1	1
2016:4:3:3:SANXIA	advanced	14	12	5	0	2
2016:4:3:3:SHUANGHE	ALL	31	30	3	0	1
2016:4:3:3:SONGSHAN	INTERMEDIATE	37	32	10	0	2
2016:4:3:3:TAOYUAN_3	gaoji	24	23	5	0	2
2016:4:3:3:TOUFEN	Zhongji	10	7	3	0	1
2016:4:3:3:TUCHENG	高級	29	23	4	1	1
2016:4:3:3:XINBAN	beginner	20	19	2	0	1
2016:4:3:3:XINDIAN	 CHUJI	45	32	7	2	4
2016:4:3:3:XINZHUANG	兒童	24	23	3	1	1
2016:4:3:3:XIZHI	Beginning	22	19	7	1	2
2016:4:3:3:YULI	ADVANCED	4 	4	0	0	1
2016:4:3:3:ZHONGLI	BEGINNER	24	18	2	0	3
2016:4:3:3:ZHUBEI	初級	20	17	2	1	2
2016:4:3:3:ZHUDONG	 party	54	30	13	0	2
2016:4:3:3:ZHUNAN	gao ji ban 	6	1	0	0	1
2016:4:4:3:ANKANG	child	16	10	1	0	1
2016:4:4:3:BADE	intermediate	50	38	13	0	3
2016:4:4:3:BEITOU	BEGINNER	15	14	2	0	2
2016:4:4:3:DANSHUI	 beginner	7	5	2	1	2
2016:4:4:3:HUALIAN	INTERMEDIATE	24	16	3	0	2
2016:4:4:3:JILONG	childrens	24	16	1	1	2
2016:4:4:3:LONGTAN	intermediate 	25	21	6	0	1
2016:4:4:3:MIAOLI	intermediate	10	7	2	0	1
2016:4:4:3:MUZHA	Beginning	16	14	4	3	2
2016:4:4:3:NEIHU	高級	19	16	1	4	2
2016:4:4:3:SANCHONG	高級班	50	42	8	0	4
2016:4:4:3:SANXIA	advanced	16	15	5	2	2
2016:4:4:3:SHILIN	 Advanced	35	29	6	4	3
2016:4:4:3:SHUANGHE	CHILDREN	43	46	4	1	4
2016:4:4:3:SONGSHAN	Intermediate	38	31	5	2	2
2016:4:4:3:TAIDONG	childrens	31	23	4	0	4
2016:4:4:3:TAOYUAN_1_2	advanced	49	28	4	0	4
2016:4:4:3:TAOYUAN_3	初級	54	45	14	0	4
2016:4:4:3:TOUFEN	infant	11	7	1	0	1
2016:4:4:3:TUCHENG	 ERTONG BAN	25	20	2	0	2
2016:4:4:3:WANDA	kids	32	25	5	0	3
2016:4:4:3:XINBAN	Advanced 	50	46	14	0	2
2016:4:4:3:XINDIAN	beginner	39	31	5	3	4
2016:4:4:3:XINZHU	中級	44	35	4	0	4
2016:4:4:3:XINZHUANG	Begin	25	14	1	1	2
2016:4:4:3:XIZHI	intermediate	16	9	1	0	3
