	@CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV	N_REPORTS
2016:5:4:3:YULI	ADULT 	15	13	5	1	2
2016:5:4:3:ZHONGLI	CHILDREN	39	14	4	0	3
2016:5:4:3:ZHUBEI	children	32	28	2	0	4
2016:5:4:3:ZHUDONG	adv	22	20	7	2	3
2016:5:4:3:ZHUNAN	gao ji ban 	27	17	1	0	4
2016:5:5:6:HUALIAN	advanced	5	5	1		1
2016:5:5:6:TOUFEN	高級	12	8	0	0	2
2016:5:5:6:YILAN	Intermediate 	16	13	1	1	2
2016:5:5:6:ZHUNAN	 advanced	6	3	1	1	1
2016:6:1:3:ANKANG	child	20	17	5	0	2
2016:6:1:3:BEITOU	BEGINNER	34	29	6	1	3
2016:6:1:3:DANSHUI	 Beginner	12	9	2	0	2
2016:6:1:3:HUALIAN	children	26	16	4	1	3
2016:6:1:3:JILONG	childrens	23	18	0	0	3
2016:6:1:3:LONGTAN	ADVANCED	23	20	3	0	2
2016:6:1:3:MIAOLI	children	16	13	1	0	2
2016:6:1:3:MUZHA	Advanced	19	15	9	0	3
2016:6:1:3:NEIHU	高級	20	17	0	1	2
2016:6:1:3:SANCHONG	 party	50	40	10	0	1
2016:6:1:3:SANXIA	beginners	18	12	1	1	4
2016:6:1:3:SHILIN	ADVANCED	32	28	3	1	4
2016:6:1:3:SHUANGHE	intermediate	72	66	3	3	3
2016:6:1:3:SONGSHAN	 Intermediate	33	30	4	0	3
2016:6:1:3:TAIDONG	beginner	32	25	2	0	4
2016:6:1:3:TAOYUAN_1_2	 children 	72	5	6	0	2
2016:6:1:3:TAOYUAN_3	 beginner	54	44	8	0	4
2016:6:1:3:TOUFEN	初級	19	16	5	3	2
2016:6:1:3:TUCHENG	CHUJI	35	30	7	2	4
2016:6:1:3:WANDA	kids	8	8	2	0	1
2016:6:1:3:XINBAN	高	15	12	1	0	2
2016:6:1:3:XINDIAN	middle	37	25	3	0	3
2016:6:1:3:XINZHU	beginning	32	28	4	2	3
2016:6:1:3:XINZHUANG	Begin	52	49	1	2	3
2016:6:1:3:XIZHI	ADVANCED	33	27	14	3	4
2016:6:1:3:YULI	Childrens 	20	18	4	1	2
2016:6:1:3:ZHONGLI	BEGINNER	18	15	3	1	1
2016:6:1:3:ZHUBEI	children	32	28	0	1	4
2016:6:1:3:ZHUDONG	PARTY	36	35	10	1	1
2016:6:1:3:ZHUNAN	gao ji ban 	24	16	4	0	2
