	@CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV	N_REPORTS
2016:3:2:0:BEITOU	ADVANCED	5	2	0	0	1
2016:3:2:0:DANSHUI	ADVANCED	9	8	1	1	2
2016:3:2:0:HUALIAN	Begining	13	9	1	0	1
2016:3:2:0:JILONG	advanceandintermediate	21	16	1	1	2
2016:3:2:0:LONGTAN	beginner	14	10	4	0	1
2016:3:2:0:MUZHA	BEGINNER	15	10	3	0	2
2016:3:2:0:NEIHU	adv	22	19	2	0	2
2016:3:2:0:SANCHONG	CHILDRENS	39	28	5	0	2
2016:3:2:0:SHILIN	kids	2	0	0	0	1
2016:3:2:0:SONGSHAN	intermediate	27	24	3	0	2
2016:3:2:0:TAIDONG	BEGINNER	36	26	2	0	4
2016:3:2:0:TAOYUAN_1_2	advanced	69	52	8	0	2
2016:3:2:0:TAOYUAN_3	Beginners	22	20	2	0	2
2016:3:2:0:TOUFEN	ZHONGJI	10	7	1	0	1
2016:3:2:0:TUCHENG	高級班	8	6	1	1	1
2016:3:2:0:XINBAN	intermediate	21	17	3	2	2
2016:3:2:0:XINDIAN	children	20	19	6	0	2
2016:3:2:0:XINZHUANG	Beggin	23	23	5	2	2
2016:3:2:0:XIZHI	INTERMEDIATE	15	10	1	0	3
2016:3:2:0:YILAN	everyone	16	11	4	0	3
2016:3:2:0:YULI	CHILDREN	12	11	2	0	2
2016:3:2:0:ZHUDONG	beginner	17	11	0	0	1
2016:3:2:0:ZHUNAN	CHUJI	18	9	2	0	2
2016:3:3:0:ANKANG	intermediate	19	11	3	0	1
2016:3:3:0:BADE	高	32	18	5	0	3
2016:3:3:0:BEITOU	CHILD	12	10	3	2	2
2016:3:3:0:HUALIAN	gaoji	16	12	4	0	3
2016:3:3:0:JILONG	Beginner	31	24	0	0	2
2016:3:3:0:LONGTAN	beginner	16	11	1	2	1
2016:3:3:0:MIAOLI	BEGINNER	6	5	0	0	1
2016:3:3:0:MUZHA	kids	5	2	1	1	1
2016:3:3:0:NEIHU	int	11	8	2	0	1
2016:3:3:0:SANCHONG	高級	25	19	3	1	3
2016:3:3:0:SHILIN	kids	12	4	3	0	2
2016:3:3:0:SHUANGHE	CHILDREN	34	31	3	0	4
2016:3:3:0:SONGSHAN	beginner	29	22	2	2	2
2016:3:3:0:TAIDONG	children	29	27	2	0	3
2016:3:3:0:TAOYUAN_1_2	begin	50	34	6	1	4
2016:3:3:0:TAOYUAN_3	高級	43	34	10	1	4
2016:3:3:0:TOUFEN	Zhongji	7	5	0	0	1
2016:3:3:0:TUCHENG	childrens	28	19	6	4	2
2016:3:3:0:WANDA	intermediate	12	9	5	1	1
2016:3:3:0:XINBAN	INTERMEDIATE	31	25	10	0	2
2016:3:3:0:XINDIAN	CHUJIBAN	28	20	7	3	3
2016:3:3:0:XINZHU	中級班	35	30	3	3	4
2016:3:3:0:XINZHUANG	Begin	27	24	4	3	2
2016:3:3:0:XIZHI	INTERMEDIATE	15	7	2	0	3
2016:3:3:0:YILAN	beginning	18	17	3	0	3
2016:3:3:0:YULI	Beginner	8	5	1	0	2
2016:3:3:0:ZHONGLI	Children	22	15	3	0	2
2016:3:3:0:ZHUBEI	初級	16	12	4	1	2
2016:3:3:0:ZHUDONG	adv	13	13	1	0	2
2016:3:3:0:ZHUNAN	gaojiban	13	10	3	2	2
2016:3:4:0:ANKANG	advanced	18	11	2	0	1
2016:3:4:0:BADE	高	31	22	9	0	3
2016:3:4:0:BEITOU	CHILD	10	7	4	3	2
2016:3:4:0:DANSHUI	advanced	8	8	2	0	1
2016:3:4:0:HUALIAN	gaoji	27	20	2	0	3
2016:3:4:0:JILONG	intermediate	24	19	0	0	2
2016:3:4:0:LONGTAN	advanced	10	6	0	0	1
2016:3:4:0:MIAOLI	intermediate	0	0	0	0	1
2016:3:4:0:MUZHA	ADVANCED	5	4	1	0	2
2016:3:4:0:NEIHU	adv	19	17	5	0	2
2016:3:4:0:SANCHONG	高級	25	12	8	5	4
2016:3:4:0:SHILIN	kids	20	17	3	0	3
2016:3:4:0:SHUANGHE	child	43	40	6	1	4
2016:3:4:0:SONGSHAN	BEGINNER	22	16	1	1	2
2016:3:4:0:TAIDONG	BEGINNER	40	32	3	2	4
2016:3:4:0:TAOYUAN_1_2	BEGin	44	29	6	4	4
2016:3:4:0:TAOYUAN_3	gaoji	40	26	8	1	4
2016:3:4:0:TOUFEN	Zhongji	4	2	0	0	1
2016:3:4:0:TUCHENG	兒同	21	16	2	1	2
2016:3:4:0:WANDA	ADVANCE	26	22	4	1	2
2016:3:4:0:XINBAN	INTERMEDIATE	28	22	8	2	2
2016:3:4:0:XINDIAN	INTERMEDIATE	23	10	5	0	2
2016:3:4:0:XINZHU	中級班跟初級班	25	25	2	2	3
2016:3:4:0:XINZHUANG	Begin	24	23	8	0	2
2016:3:4:0:XIZHI	INTERMEDIATE	13	9	4	0	3
