	CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV
2016:2:0:0:0:MISSION	-	2399	1090	382	148
2016:3:0:0:0:MISSION	-	1048	694	268	59
2016:3:0:0:1:MISSION	Beginners	1441	1089	287	47
2016:3:0:0:2:MISSION	Advanced	1521	1137	296	47
2016:3:0:0:3:MISSION	adv	784	589	124	27
2016:3:0:0:4:MISSION	beginner	1066	802	161	32
2016:3:0:0:5:MISSION	BEGINNER	404	304	57	8
2016:3:0:0:6:MISSION	高級	64	47	8	1
