	CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV
2016:3:2:3:0:TAIDONG_2	advanced	8	8	0	0
2016:3:2:3:0:TAOYUAN_1_2	advanced	69	52	8	0
2016:3:2:3:0:TAOYUAN_3	Advanced/Intermediate	65	54	12	1
2016:3:2:3:0:TOUFEN_MIAOLI	intermediate	33	24	3	0
2016:3:2:3:0:TUCHENG	advanced	80	55	13	7
2016:3:2:3:0:WANDA	all	38	32	4	0
2016:3:2:3:0:XINAN	all	64	54	17	2
2016:3:2:3:0:XINDIAN	advanced	12	11	3	0
2016:3:2:3:0:XINZHU	中級班	35	30	3	3
2016:3:2:3:0:XINZHUANG	Beggin	50	47	9	5
2016:3:2:3:0:XIZHI	ADVANCED	17	8	2	0
2016:3:2:3:0:YILAN	everyone	31	28	7	0
2016:3:2:3:0:YULI	ADVANCED	13	10	1	0
2016:3:2:3:0:ZHONGLI	Children	22	15	3	0
2016:3:2:3:0:ZHUBEI	gaoji	21	17	5	3
2016:3:2:3:0:ZHUDONG	beginner	17	11	0	0
2016:3:2:3:0:ZHUNAN	ERTONG	38	29	6	2
2016:3:2:3:1:BEITOU	BEGINNER	21	18	4	3
2016:3:2:3:1:JIAN	gaoji	20	15	1	0
2016:3:2:3:1:JINGXIN	children	37	27	10	1
2016:3:2:3:1:SANCHONG	CHILDRENS	39	28	5	0
2016:3:2:3:1:SONGSHAN	adv	48	40	5	0
2016:3:2:3:1:TAIDONG_1_3	BEGINNER	34	25	3	0
2016:3:2:3:1:TAOYUAN_1_2	begin	112	79	13	1
2016:3:2:3:1:XINDIAN	Advanced	53	37	10	3
2016:3:2:3:1:ZHUDONG	adv	30	24	1	0
2016:3:2:3:2:SANCHONG	高級	64	47	8	1
2016:3:3:3:0:BADE	beginner	8	7	1	0
2016:3:3:3:0:BANQIAO	BEGINNER	31	25	10	0
2016:3:3:3:0:BEITOU	BEGINNER	12	10	3	2
