	@CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV
2016:5:0:0:TAIDONG	BEGINNER	38	29	9	1
2016:5:0:0:TAOYUAN_1_2	advanced	35	20	3	0
2016:5:0:0:TAOYUAN_3	初級班	56	50	12	8
2016:5:0:0:TOUFEN	Kid	19	11	8	3
2016:5:0:0:TUCHENG	 CHUJI	23	17	5	3
2016:5:0:0:WANDA	ZHONGJI	12	22	4	0
2016:5:0:0:XINBAN	Beginner 	42	38	13	2
2016:5:0:0:XINDIAN	little kids	30	23	6	6
2016:5:0:0:XINZHU	初級	17	14	1	0
2016:5:0:0:XINZHUANG	Begin	24	23	6	2
2016:5:0:0:XIZHI	INTERMEDIATE	25	15	4	1
2016:5:0:0:YILAN	 beginning	40	37	14	2
2016:5:0:0:YULI	ADVANCED	7	7	1	1
2016:5:0:0:ZHONGLI	children	39	36	12	1
2016:5:0:0:ZHUBEI	children	37	28	4	0
2016:5:0:0:ZHUDONG	 adv.	17	16	6	2
2016:5:0:0:ZHUNAN	 beginner	0	0	0	0 cancelled because we weren't able to get back from zone conference 
