	CLASSLEVEL	NEWINV	NEWSTUDENTS	TOTALNONMEM	TOTALSTUDENTS
2016:3:0:0:0:WANDA	beginner	6	33	88	106
2016:3:0:0:0:XIANGSHAN	ERTONG	0	6	26	40
2016:3:0:0:0:XINAN	beginner	2	19	38	40
2016:3:0:0:0:XINBAN	CHILD	3	27	100	120
2016:3:0:0:0:XINDIAN	advanced	7	21	53	81
2016:3:0:0:0:XINPU	advanced	2	22	50	56
2016:3:0:0:0:XINZHU_1	gaoji	5	10	70	82
2016:3:0:0:0:XINZHU_3	ADVANCED	4	9	52	61
2016:3:0:0:0:XIZHI	ADVANCED	0	14	38	65
2016:3:0:0:0:YILAN	beginning	0	6	16	19
2016:3:0:0:0:YONGHE	child	0	7	61	69
2016:3:0:0:0:YULI	BEGINNING	0	3	18	26
2016:3:0:0:0:ZHONGHE_1	INTERMEDIATE	2	8	56	59
2016:3:0:0:0:ZHONGHE_2	begginer	2	11	39	45
2016:3:0:0:0:ZHONGLI_1	BEGINNER	0	4	16	25
2016:3:0:0:0:ZHONGLI_2	Beginning/Intermediate	1	7	33	43
2016:3:0:0:0:ZHUBEI_1	gaoji	4	2	10	10
2016:3:0:0:0:ZHUBEI_2	begin	5	11	52	66
2016:3:0:0:0:ZHUBEI_3	children	0	4	10	46
2016:3:0:0:0:ZHUDONG	ADV	0	2	41	51
2016:3:0:0:0:ZHUNAN	CHUJI	5	8	32	40
2016:3:0:0:1:BADE	中	1	1	2	3
2016:3:0:0:1:BEITOU	BEGINNER	2	3	10	12
2016:3:0:0:1:HUALIAN_1	gaoji	0	1	15	20
2016:3:0:0:1:JILONG	Advance	0	2	9	12
2016:3:0:0:1:LONGTAN	advanced	0	0	2	6
2016:3:0:0:1:MIAOLI	intermediate	0	2	8	10
2016:3:0:0:1:MUZHA	BEGINNER	0	4	5	6
2016:3:0:0:1:NEIHU	advanced	0	3	10	11
2016:3:0:0:1:SANXIA	ADVANCED	1	1	5	8
2016:3:0:0:1:SHILIN	中級	0	1	5	5
2016:3:0:0:1:SIYUAN	advanced	0	0	0	11
2016:3:0:0:1:SONGSHAN	children	0	0	6	8
2016:3:0:0:1:TAOYUAN_3	gaoji	0	6	12	21
2016:3:0:0:1:XIZHI	intermediate	0	1	6	7
2016:3:0:0:1:ZHUDONG	adv	0	1	24	30
2016:3:0:0:2:NEIHU	adv	0	2	17	20
