PH_NUMBER	AREA_NAME	ZONE_NAME	STAKE_NAME	DISTRICT_NAME	ENGLISH_UNIT_NAME	REPORT_REQUIRED	ENGLISH_REQUIRED	GEOG_AREAS
+886912576011	XIANGSHAN_A	ZHUNAN	HSINCHU	ZHUNAN	ZHUNAN	1	1	BAOSHAN,XIANGSHAN,寶山鄉,香山區,香山
+886965073051	XIANGSHAN_B	ZHUNAN	HSINCHU	ZHUNAN	ZHUNAN	1	1	BAOSHAN,XIANGSHAN,寶山鄉,香山區,香山
+886972576590	TOUFEN_E	ZHUNAN	HSINCHU	TOUFEN/MIAOLI	TOUFEN	1	1	NANZHUANG,SANWAN,TOUFEN,南庄鄉,三灣鄉,頭份,頭份鎮
+886963537337	MIAOLI_A_E	ZHUNAN	HSINCHU	TOUFEN/MIAOLI	MIAOLI	1	1	HOULONG,ZHUOLAN,DAHU,GONGGUAN,TONGLUO,TOUWU,SANYI,XIHU,SHITAN,TAIAN,TONGXIAO,YUANLI,MIAOLI,後龍鎮,後龍,卓蘭鎮,卓蘭,大湖鄉,公館鄉,銅鑼鄉,頭屋鄉,三義,三義鄉,西湖鄉,獅潭鄉,泰安,泰安鄉,通霄鎮,苑裡鎮,苗栗,苗栗市
+886963911267	MIAOLI_B_E	ZHUNAN	HSINCHU	TOUFEN/MIAOLI	MIAOLI	1	1	HOULONG,ZHUOLAN,DAHU,GONGGUAN,TONGLUO,TOUWU,SANYI,XIHU,SHITAN,TAIAN,TONGXIAO,YUANLI,MIAOLI,後龍鎮,後龍,卓蘭鎮,卓蘭,大湖鄉,公館鄉,銅鑼鄉,頭屋鄉,三義,三義鄉,西湖鄉,獅潭鄉,泰安,泰安鄉,通霄鎮,苑裡鎮,苗栗,苗栗市
+886972576593	TAIDONG_2_E	TAIDONG	HUALIEN	TAIDONG_2	TAIDONG	1	1	LANYU,JINFENG,DAREN,LVDAO,TAIMALI,DAWU,BEINAN,TAITUNG,TAIDONG,蘭嶼鄉,金峰鄉,達仁鄉,綠島鄉,太麻里鄉,大武鄉,卑南鄉,台東市,台東
+886972576150	TAIDONG_2_S	TAIDONG	HUALIEN	TAIDONG_2	TAIDONG	1	1	LANYU,JINFENG,DAREN,LVDAO,TAIMALI,DAWU,BEINAN,TAITUNG,TAIDONG_CITY,蘭嶼鄉,金峰鄉,達仁鄉,綠島鄉,太麻里鄉,大武鄉,卑南鄉,台東市
+886972576519	TAIDONG_1_E	TAIDONG	HUALIEN	TAIDONG_1_3	TAIDONG	1	1	TAIDONG_CITY, 台東市
+886965005802	TAIDONG_3_E	TAIDONG	HUALIEN	TAIDONG_1_3	TAIDONG	1	1	TAITUNG,CHENNGGONG,GUANSHAN,DONGHE,CHANGBIN,LUYE,CHISHANG,YANPING,HAIDUAN,台東市,成功鎮,關山鎮,東河鄉,長濱鄉,鹿野鄉,池上鄉,延平鄉,海端鄉
+886972576596	TAIDONG_1_S	TAIDONG	HUALIEN	TAIDONG_1_3	TAIDONG	1	1	TAIDONG_CITY, 台東市
